"","subsector","species","month","international_waters","tons"
"329","artisanal","BONITO","FEB",0,6.66666666666667
"330","artisanal","BONITO","JUL",0,8.75
"331","artisanal","BONITO","JUN",0,7.25
"332","artisanal","BONITO","MAR",0,9.5
"333","artisanal","BONITO","MAY",0,5.75
"334","artisanal","BONITO","NOV",0,4.5
"335","artisanal","BONITO","OCT",0,5.25
"336","artisanal","BONITO","SEP",0,4
"337","artisanal","BRECA DE JUAN FERNANDEZ","ABR",0,6
"338","artisanal","BRECA DE JUAN FERNANDEZ","AGO",0,NA
"339","artisanal","BRECA DE JUAN FERNANDEZ","DIC",0,13.5
"340","artisanal","BRECA DE JUAN FERNANDEZ","ENE",0,14
"341","artisanal","BRECA DE JUAN FERNANDEZ","FEB",0,11
"342","artisanal","BRECA DE JUAN FERNANDEZ","JUL",0,NA
"343","artisanal","BRECA DE JUAN FERNANDEZ","JUN",0,1
"344","artisanal","BRECA DE JUAN FERNANDEZ","MAR",0,10
"345","artisanal","BRECA DE JUAN FERNANDEZ","MAY",0,1
"346","artisanal","BRECA DE JUAN FERNANDEZ","NOV",0,13.5
"347","artisanal","BRECA DE JUAN FERNANDEZ","OCT",0,11.5
"348","artisanal","BRECA DE JUAN FERNANDEZ","SEP",0,1
"349","artisanal","BRECA O BILAGAY","ABR",0,6.33333333333333
"350","artisanal","BRECA O BILAGAY","AGO",0,1.33333333333333
"351","artisanal","BRECA O BILAGAY","DIC",0,12
"352","artisanal","BRECA O BILAGAY","ENE",0,12.6666666666667
"353","artisanal","BRECA O BILAGAY","FEB",0,10.3333333333333
"354","artisanal","BRECA O BILAGAY","JUL",0,1.5
"355","artisanal","BRECA O BILAGAY","JUN",0,1.5
"356","artisanal","BRECA O BILAGAY","MAR",0,8
"357","artisanal","BRECA O BILAGAY","MAY",0,2.33333333333333
"358","artisanal","BRECA O BILAGAY","NOV",0,10.5
"359","artisanal","BRECA O BILAGAY","OCT",0,19.3333333333333
"360","artisanal","BRECA O BILAGAY","SEP",0,1.33333333333333
"361","artisanal","BROTULA","ABR",0,NA
"362","artisanal","BROTULA","AGO",0,NA
"363","artisanal","BROTULA","DIC",0,NA
"364","artisanal","BROTULA","ENE",0,NA
"365","artisanal","BROTULA","FEB",0,NA
"366","artisanal","BROTULA","JUL",0,NA
"367","artisanal","BROTULA","JUN",0,NA
"368","artisanal","BROTULA","MAR",0,1
"369","artisanal","BROTULA","MAY",0,NA
"370","artisanal","BROTULA","NOV",0,1
"371","artisanal","BROTULA","OCT",0,NA
"372","artisanal","BROTULA","SEP",0,NA
"373","artisanal","CABALLA","ABR",0,2325
"374","artisanal","CABALLA","AGO",0,1457
"375","artisanal","CABALLA","DIC",0,207.333333333333
"376","artisanal","CABALLA","ENE",0,2825.75
"377","artisanal","CABALLA","FEB",0,2525
"378","artisanal","CABALLA","JUL",0,2726
"379","artisanal","CABALLA","JUN",0,2715.75
"380","artisanal","CABALLA","MAR",0,1726.75
"381","artisanal","CABALLA","MAY",0,1592.25
"382","artisanal","CABALLA","NOV",0,521.25
"383","artisanal","CABALLA","OCT",0,826.5
"384","artisanal","CABALLA","SEP",0,1177.25
"385","artisanal","CABINZA","ABR",0,5.66666666666667
"386","artisanal","CABINZA","AGO",0,2.5
"387","artisanal","CABINZA","DIC",0,2.75
"388","artisanal","CABINZA","ENE",0,1.66666666666667
"389","artisanal","CABINZA","FEB",0,6
"390","artisanal","CABINZA","JUL",0,4.75
"391","artisanal","CABINZA","JUN",0,7
"392","artisanal","CABINZA","MAR",0,6
"393","artisanal","CABINZA","MAY",0,6.5
"394","artisanal","CABINZA","NOV",0,1.25
"395","artisanal","CABINZA","OCT",0,1.66666666666667
"396","artisanal","CABINZA","SEP",0,3
"397","artisanal","CABRILLA COMUN","ABR",0,6
"398","artisanal","CABRILLA COMUN","AGO",0,10.75
"399","artisanal","CABRILLA COMUN","DIC",0,6.25
"400","artisanal","CABRILLA COMUN","ENE",0,8.75
"401","artisanal","CABRILLA COMUN","FEB",0,7.5
"402","artisanal","CABRILLA COMUN","JUL",0,5.75
"403","artisanal","CABRILLA COMUN","JUN",0,7
"404","artisanal","CABRILLA COMUN","MAR",0,8.75
"405","artisanal","CABRILLA COMUN","MAY",0,6.25
"406","artisanal","CABRILLA COMUN","NOV",0,6.25
"407","artisanal","CABRILLA COMUN","OCT",0,8.75
"408","artisanal","CABRILLA COMUN","SEP",0,5.5
"409","artisanal","CABRILLA ESPA<U+00D1>OLA","ABR",0,10
"410","artisanal","CABRILLA ESPA<U+00D1>OLA","AGO",0,1.5
"411","artisanal","CABRILLA ESPA<U+00D1>OLA","DIC",0,2
"412","artisanal","CABRILLA ESPA<U+00D1>OLA","ENE",0,5.66666666666667
"413","artisanal","CABRILLA ESPA<U+00D1>OLA","FEB",0,5
"414","artisanal","CABRILLA ESPA<U+00D1>OLA","JUL",0,1
"415","artisanal","CABRILLA ESPA<U+00D1>OLA","JUN",0,4
"416","artisanal","CABRILLA ESPA<U+00D1>OLA","MAR",0,3.5
"417","artisanal","CABRILLA ESPA<U+00D1>OLA","MAY",0,6
"418","artisanal","CABRILLA ESPA<U+00D1>OLA","NOV",0,1
"419","artisanal","CABRILLA ESPA<U+00D1>OLA","OCT",0,1.25
"420","artisanal","CABRILLA ESPA<U+00D1>OLA","SEP",0,1.25
"421","artisanal","CALAMAR","ABR",0,6
"422","artisanal","CALAMAR","AGO",0,NA
"423","artisanal","CALAMAR","DIC",0,2
"424","artisanal","CALAMAR","ENE",0,1.5
"425","artisanal","CALAMAR","FEB",0,2
"426","artisanal","CALAMAR","JUL",0,1
"427","artisanal","CALAMAR","JUN",0,1
"428","artisanal","CALAMAR","MAR",0,3
"429","artisanal","CALAMAR","MAY",0,6
"430","artisanal","CALAMAR","NOV",0,1
"431","artisanal","CALAMAR","OCT",0,NA
