"especie_SERNAPESCA","nombre_cientifico_SERNAPESCA"
"JAIBA REMADORA","Ovalipes trimaculatus"
"JAIBA REMADORA","Ovalipes trimaculatus"
"LANGOSTA DE ISLA DE PASCUA O URA","Panulirus pascuensis"
"LANGOSTA DE ISLA DE PASCUA O URA","Panulirus pascuensis"
"LANGOSTA DE J.FERNANDEZ","Jasus frontalis"
"LANGOSTA DE J.FERNANDEZ","Jasus frontalis"
"LANGOSTINO AMARILLO","Cervimunida johni"
"LANGOSTINO AMARILLO","Cervimunida johni"
"LANGOSTINO AMARILLO","Cervimunida johni"
"LANGOSTINO AMARILLO","Cervimunida johni"
"LANGOSTINO COLORADO","Pleuroncodes monodon"
"LANGOSTINO COLORADO","Pleuroncodes monodon"
"LANGOSTINO COLORADO","Pleuroncodes monodon"
"LANGOSTINO COLORADO","Pleuroncodes monodon"
"LANGOSTINO DE LOS CANALES","Munida subrugosa"
"LANGOSTINO ENANO","Pleuroncodes sp"
"ACHA O HACHA","Medialuna ancietae"
"ATUN OJOS GRANDES / KAHI MATA TATA","Thunnus obesus"
"ATUN OJOS GRANDES / KAHI MATA TATA","Thunnus obesus"
"BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","Polyprion oxygeneios"
"BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","Polyprion oxygeneios"
"BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA","Polyprion oxygeneios"
"BARRACUDA O PETO / KANA KANA","NA"
"BROTULA","Salilota australis"
"BROTULA","Salilota australis"
"BROTULA","Salilota australis"
"COJINOBA MOTEADA","Seriolella punctata"
"COJINOBA MOTEADA","Seriolella punctata"
"COJINOBA MOTEADA","Seriolella punctata"
"COJINOBA MOTEADA","Seriolella punctata"
"COJINOBA MOTEADA","Seriolella punctata"
"COJINOBA MOTEADA","Seriolella punctata"
"PEJERRATA O GRANADERO","Coelorhynchus spp"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"PEJEZORRO","Alopias vulpinus"
"REMOREMO","Elagatis bipinnulata"
"LAPA BONETE","Fissurella costata"
"PULPO DE JUAN FERNANDEZ","Octopus Crusoe"
"PULPO DE JUAN FERNANDEZ","Octopus Crusoe"
"CAMARON DE ROCA","Rhynchocinetes typus"
