"","subsector","species","region","international_waters","tons"
"296","artisanal","BACALAO DE PROFUNDIDAD","XV",0,12.4
"297","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","I",0,NA
"298","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","I",1,NA
"299","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","II",0,NA
"300","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","II",1,NA
"301","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","III",0,NA
"302","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","III",1,NA
"303","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IV",0,4.6
"304","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IV",1,3
"305","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IX",0,NA
"306","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IX",1,NA
"307","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","R.M.",1,NA
"308","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","V",0,NA
"309","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","V",1,NA
"310","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VI",0,NA
"311","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VI",1,NA
"312","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VII",0,NA
"313","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VII",1,NA
"314","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VIII",0,NA
"315","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VIII",1,NA
"316","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","X",0,NA
"317","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","X",1,NA
"318","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XI",0,NA
"319","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XI",1,NA
"320","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XII",0,NA
"321","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XII",1,NA
"322","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XIV",0,NA
"323","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XIV",1,NA
"324","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XV",0,NA
"325","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XV",1,NA
"326","artisanal","BAGRE","I",0,NA
"327","artisanal","BAGRE","II",0,NA
"328","artisanal","BAGRE","III",0,NA
"329","artisanal","BAGRE","IV",0,NA
"330","artisanal","BAGRE","IX",0,NA
"331","artisanal","BAGRE","V",0,NA
"332","artisanal","BAGRE","VI",0,NA
"333","artisanal","BAGRE","VII",0,NA
"334","artisanal","BAGRE","VIII",0,1
"335","artisanal","BAGRE","X",0,NA
"336","artisanal","BAGRE","XI",0,NA
"337","artisanal","BAGRE","XII",0,NA
"338","artisanal","BAGRE","XIV",0,NA
"339","artisanal","BAGRE","XV",0,4
"340","artisanal","BARRACUDA O PETO / KANA KANA","I",0,NA
"341","artisanal","BARRACUDA O PETO / KANA KANA","II",0,NA
"342","artisanal","BARRACUDA O PETO / KANA KANA","III",0,NA
"343","artisanal","BARRACUDA O PETO / KANA KANA","IV",0,NA
"344","artisanal","BARRACUDA O PETO / KANA KANA","IX",0,NA
"345","artisanal","BARRACUDA O PETO / KANA KANA","V",0,1
"346","artisanal","BARRACUDA O PETO / KANA KANA","VI",0,NA
"347","artisanal","BARRACUDA O PETO / KANA KANA","VII",0,NA
"348","artisanal","BARRACUDA O PETO / KANA KANA","VIII",0,NA
"349","artisanal","BARRACUDA O PETO / KANA KANA","X",0,NA
"350","artisanal","BARRACUDA O PETO / KANA KANA","XI",0,NA
"351","artisanal","BARRACUDA O PETO / KANA KANA","XII",0,NA
"352","artisanal","BARRACUDA O PETO / KANA KANA","XIV",0,NA
"353","artisanal","BARRACUDA O PETO / KANA KANA","XV",0,NA
"354","artisanal","BESUGO","I",0,NA
"355","artisanal","BESUGO","II",0,NA
"356","artisanal","BESUGO","III",0,NA
"357","artisanal","BESUGO","IV",0,NA
"358","artisanal","BESUGO","IX",0,NA
"359","artisanal","BESUGO","V",0,NA
"360","artisanal","BESUGO","VI",0,NA
"361","artisanal","BESUGO","VII",0,1
"362","artisanal","BESUGO","VIII",0,NA
"363","artisanal","BESUGO","X",0,NA
"364","artisanal","BESUGO","XI",0,NA
"365","artisanal","BESUGO","XII",0,NA
"366","artisanal","BESUGO","XIV",0,NA
"367","artisanal","BESUGO","XV",0,NA
"368","artisanal","BLANQUILLO","I",0,NA
"369","artisanal","BLANQUILLO","II",0,4
"370","artisanal","BLANQUILLO","III",0,NA
"371","artisanal","BLANQUILLO","IV",0,2.5
"372","artisanal","BLANQUILLO","IX",0,NA
"373","artisanal","BLANQUILLO","V",0,2
"374","artisanal","BLANQUILLO","VI",0,2
"375","artisanal","BLANQUILLO","VII",0,14.8
"376","artisanal","BLANQUILLO","VIII",0,8.4
"377","artisanal","BLANQUILLO","X",0,NA
"378","artisanal","BLANQUILLO","XI",0,NA
"379","artisanal","BLANQUILLO","XII",0,NA
"380","artisanal","BLANQUILLO","XIV",0,NA
"381","artisanal","BLANQUILLO","XV",0,NA
"382","artisanal","BONITO","I",0,11.25
"383","artisanal","BONITO","II",0,32.6
"384","artisanal","BONITO","III",0,2.5
"385","artisanal","BONITO","IV",0,1
"386","artisanal","BONITO","IX",0,4
"387","artisanal","BONITO","V",0,1
"388","artisanal","BONITO","VI",0,1
"389","artisanal","BONITO","VII",0,5.5
"390","artisanal","BONITO","VIII",0,2.66666666666667
"391","artisanal","BONITO","X",0,2
"392","artisanal","BONITO","XI",0,NA
"393","artisanal","BONITO","XII",0,NA
"394","artisanal","BONITO","XIV",0,NA
"395","artisanal","BONITO","XV",0,25
"396","artisanal","BRECA DE JUAN FERNANDEZ","I",0,NA
"397","artisanal","BRECA DE JUAN FERNANDEZ","II",0,NA
"398","artisanal","BRECA DE JUAN FERNANDEZ","III",0,NA
"399","artisanal","BRECA DE JUAN FERNANDEZ","IV",0,NA
"400","artisanal","BRECA DE JUAN FERNANDEZ","IX",0,NA
"401","artisanal","BRECA DE JUAN FERNANDEZ","V",0,60.5
"402","artisanal","BRECA DE JUAN FERNANDEZ","VI",0,NA
"403","artisanal","BRECA DE JUAN FERNANDEZ","VII",0,NA
"404","artisanal","BRECA DE JUAN FERNANDEZ","VIII",0,NA
"405","artisanal","BRECA DE JUAN FERNANDEZ","X",0,NA
"406","artisanal","BRECA DE JUAN FERNANDEZ","XI",0,NA
"407","artisanal","BRECA DE JUAN FERNANDEZ","XII",0,NA
"408","artisanal","BRECA DE JUAN FERNANDEZ","XIV",0,NA
"409","artisanal","BRECA DE JUAN FERNANDEZ","XV",0,NA
"410","artisanal","BRECA O BILAGAY","I",0,1
"411","artisanal","BRECA O BILAGAY","II",0,3.75
"412","artisanal","BRECA O BILAGAY","III",0,4.66666666666667
"413","artisanal","BRECA O BILAGAY","IV",0,NA
"414","artisanal","BRECA O BILAGAY","IX",0,NA
"415","artisanal","BRECA O BILAGAY","V",0,83.75
"416","artisanal","BRECA O BILAGAY","VI",0,NA
"417","artisanal","BRECA O BILAGAY","VII",0,NA
"418","artisanal","BRECA O BILAGAY","VIII",0,NA
"419","artisanal","BRECA O BILAGAY","X",0,NA
"420","artisanal","BRECA O BILAGAY","XI",0,NA
"421","artisanal","BRECA O BILAGAY","XII",0,NA
"422","artisanal","BRECA O BILAGAY","XIV",0,NA
"423","artisanal","BRECA O BILAGAY","XV",0,1
"424","artisanal","BROTULA","I",0,NA
"425","artisanal","BROTULA","II",0,NA
"426","artisanal","BROTULA","III",0,NA
"427","artisanal","BROTULA","IV",0,NA
"428","artisanal","BROTULA","IX",0,NA
"429","artisanal","BROTULA","V",0,NA
"430","artisanal","BROTULA","VI",0,NA
"431","artisanal","BROTULA","VII",0,NA
"432","artisanal","BROTULA","VIII",0,NA
"433","artisanal","BROTULA","X",0,NA
"434","artisanal","BROTULA","XI",0,NA
"435","artisanal","BROTULA","XII",0,2
"436","artisanal","BROTULA","XIV",0,NA
"437","artisanal","BROTULA","XV",0,NA
"438","artisanal","CABALLA","I",0,204.333333333333
"439","artisanal","CABALLA","II",0,612
"440","artisanal","CABALLA","III",0,17309.8
"441","artisanal","CABALLA","IV",0,3424.4
