"region","tons","product","year","species"
"XV","0","oil",2014,"MACHUELO O TRITRE"
"XV","20","oil",2014,"MACHUELO O TRITRE"
"XV","0","oil",2014,"MERLUZA DE COLA"
"XV","0","oil",2014,"MERLUZA DE COLA"
"XV","0","oil",2014,"PAMPANITO"
"XV","0","oil",2014,"PAMPANITO"
"XV","0","oil",2014,"PEJERREY DE MAR"
"XV","0","oil",2014,"PEJERREY DE MAR"
"XV","0","oil",2014,"PESCADO NO CLASIFICADO"
"XV","0","oil",2014,"PESCADO NO CLASIFICADO"
"XV","0","oil",2014,"REINETA"
"XV","0","oil",2014,"REINETA"
"XV","0","oil",2014,"SARDINA AUSTRAL"
"XV","0","oil",2014,"SARDINA AUSTRAL"
"XV","0","oil",2014,"SARDINA COMUN"
"XV","0","oil",2014,"SARDINA COMUN"
"XV","0","oil",2014,"CALAMAR"
"XV","0","oil",2014,"CALAMAR"
"XV","0","oil",2014,"JIBIA O CALAMAR ROJO"
"XV","0","oil",2014,"JIBIA O CALAMAR ROJO"
"XV","0","oil",2014,"LANGOSTINO COLORADO"
"XV","0","oil",2014,"LANGOSTINO COLORADO"
"XV","0","oil",2014,"LANGOSTINO ENANO"
"XV","0","oil",2014,"LANGOSTINO ENANO"
"I","0","oil",2014,"AGUJILLA"
"I","6","oil",2014,"AGUJILLA"
"I","0","oil",2014,"ANCHOVETA"
"I","6845","oil",2014,"ANCHOVETA"
"I","0","oil",2014,"BACALADILLO O MOTE"
"I","0","oil",2014,"BACALADILLO O MOTE"
"I","0","oil",2014,"CABALLA"
"I","128","oil",2014,"CABALLA"
"I","0","oil",2014,"JUREL"
"I","357","oil",2014,"JUREL"
"I","0","oil",2014,"MACHUELO O TRITRE"
"I","0","oil",2014,"MACHUELO O TRITRE"
"I","0","oil",2014,"MERLUZA DE COLA"
"I","0","oil",2014,"MERLUZA DE COLA"
"I","0","oil",2014,"PAMPANITO"
"I","0","oil",2014,"PAMPANITO"
"I","0","oil",2014,"PEJERREY DE MAR"
"I","0","oil",2014,"PEJERREY DE MAR"
"I","0","oil",2014,"PESCADO NO CLASIFICADO"
"I","0","oil",2014,"PESCADO NO CLASIFICADO"
"I","0","oil",2014,"REINETA"
"I","0","oil",2014,"REINETA"
"I","0","oil",2014,"SARDINA AUSTRAL"
"I","0","oil",2014,"SARDINA AUSTRAL"
"I","0","oil",2014,"SARDINA COMUN"
"I","0","oil",2014,"SARDINA COMUN"
"I","0","oil",2014,"CALAMAR"
"I","0","oil",2014,"CALAMAR"
"I","0","oil",2014,"JIBIA O CALAMAR ROJO"
"I","2","oil",2014,"JIBIA O CALAMAR ROJO"
"I","0","oil",2014,"LANGOSTINO COLORADO"
"I","0","oil",2014,"LANGOSTINO COLORADO"
"I","0","oil",2014,"LANGOSTINO ENANO"
"I","3","oil",2014,"LANGOSTINO ENANO"
"II","0","oil",2014,"AGUJILLA"
"II","0","oil",2014,"AGUJILLA"
"II","0","oil",2014,"ANCHOVETA"
"II","1241","oil",2014,"ANCHOVETA"
"II","0","oil",2014,"BACALADILLO O MOTE"
"II","0","oil",2014,"BACALADILLO O MOTE"
"II","0","oil",2014,"CABALLA"
"II","19","oil",2014,"CABALLA"
"II","0","oil",2014,"JUREL"
"II","48","oil",2014,"JUREL"
"II","0","oil",2014,"MACHUELO O TRITRE"
"II","0","oil",2014,"MACHUELO O TRITRE"
"II","0","oil",2014,"MERLUZA DE COLA"
"II","0","oil",2014,"MERLUZA DE COLA"
"II","0","oil",2014,"PAMPANITO"
"II","0","oil",2014,"PAMPANITO"
"II","0","oil",2014,"PEJERREY DE MAR"
"II","0","oil",2014,"PEJERREY DE MAR"
"II","0","oil",2014,"PESCADO NO CLASIFICADO"
"II","2","oil",2014,"PESCADO NO CLASIFICADO"
"II","0","oil",2014,"REINETA"
"II","0","oil",2014,"REINETA"
"II","0","oil",2014,"SARDINA AUSTRAL"
"II","0","oil",2014,"SARDINA AUSTRAL"
"II","0","oil",2014,"SARDINA COMUN"
"II","0","oil",2014,"SARDINA COMUN"
"II","0","oil",2014,"CALAMAR"
"II","0","oil",2014,"CALAMAR"
"II","0","oil",2014,"JIBIA O CALAMAR ROJO"
"II","0","oil",2014,"JIBIA O CALAMAR ROJO"
"II","0","oil",2014,"LANGOSTINO COLORADO"
"II","0","oil",2014,"LANGOSTINO COLORADO"
"II","0","oil",2014,"LANGOSTINO ENANO"
"II","0","oil",2014,"LANGOSTINO ENANO"
"III","0","oil",2014,"AGUJILLA"
"III","0","oil",2014,"AGUJILLA"
"III","0","oil",2014,"ANCHOVETA"
"III","59","oil",2014,"ANCHOVETA"
"III","0","oil",2014,"BACALADILLO O MOTE"
"III","6","oil",2014,"BACALADILLO O MOTE"
"III","0","oil",2014,"CABALLA"
"III","51","oil",2014,"CABALLA"
"III","0","oil",2014,"JUREL"
"III","74","oil",2014,"JUREL"
"III","0","oil",2014,"MACHUELO O TRITRE"
"III","0","oil",2014,"MACHUELO O TRITRE"
"III","0","oil",2014,"MERLUZA DE COLA"
"III","0","oil",2014,"MERLUZA DE COLA"
"III","0","oil",2014,"PAMPANITO"
"III","0","oil",2014,"PAMPANITO"
"III","0","oil",2014,"PEJERREY DE MAR"
"III","0","oil",2014,"PEJERREY DE MAR"
