"species","region","tons","product","year"
"TOLLO","V",0,"fresh",2013
"TRUCHA ARCO IRIS","V",0,"fresh",2013
"TURBOT","V",82,"fresh",2013
"ABALON JAPONES","V",0,"fresh",2013
"ABALON ROJO","V",0,"fresh",2013
"ALMEJA","V",0,"fresh",2013
"CARACOL LOCATE","V",0,"fresh",2013
"CARACOL PALO PALO","V",0,"fresh",2013
"CHOLGA","V",0,"fresh",2013
"CHORITO","V",0,"fresh",2013
"CHORO","V",0,"fresh",2013
"CULENGUE","V",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","V",0,"fresh",2013
"JIBIA O CALAMAR ROJO","V",4391,"fresh",2013
"LAPA NEGRA","V",0,"fresh",2013
"LOCO","V",0,"fresh",2013
"MACHA","V",0,"fresh",2013
"NAVAJUELA","V",0,"fresh",2013
"OSTION DEL NORTE","V",0,"fresh",2013
"OSTION DEL SUR","V",0,"fresh",2013
"PULPO","V",0,"fresh",2013
"PULPO DEL SUR","V",0,"fresh",2013
"TAQUILLA","V",0,"fresh",2013
"TUMBAO","V",0,"fresh",2013
"CAMARON NAILON","V",0,"fresh",2013
"CENTOLLA","V",0,"fresh",2013
"JAIBA MARMOLA","V",0,"fresh",2013
"JAIBA PELUDA O PACHONA","V",0,"fresh",2013
"ERIZO","V",0,"fresh",2013
"PIURE","V",0,"fresh",2013
"COCHAYUYO","VI",0,"fresh",2013
"ALBACORA O PEZ ESPADA","VI",0,"fresh",2013
"ATUN OJOS GRANDES","VI",0,"fresh",2013
"AZULEJO","VI",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","VI",0,"fresh",2013
"BESUGO","VI",0,"fresh",2013
"CABALLA","VI",0,"fresh",2013
"CONGRIO COLORADO","VI",0,"fresh",2013
"CONGRIO DORADO","VI",0,"fresh",2013
"CONGRIO NEGRO","VI",0,"fresh",2013
"CORVINA","VI",0,"fresh",2013
"JUREL","VI",0,"fresh",2013
"MERLUZA COMUN","VI",0,"fresh",2013
"MERLUZA DE COLA","VI",0,"fresh",2013
"MERLUZA DEL SUR O AUSTRAL","VI",0,"fresh",2013
"PEJEGALLO","VI",0,"fresh",2013
"PEJERREY DE MAR","VI",0,"fresh",2013
"RAYA VOLANTIN","VI",0,"fresh",2013
"REINETA","VI",2,"fresh",2013
"ROBALO","VI",0,"fresh",2013
"SALMON DEL ATLANTICO","VI",0,"fresh",2013
"SALMON PLATEADO","VI",0,"fresh",2013
"SALMON REY","VI",0,"fresh",2013
"SARDINA COMUN","VI",0,"fresh",2013
"SIERRA","VI",0,"fresh",2013
"TIBURON O MARRAJO","VI",0,"fresh",2013
"TOLLO","VI",0,"fresh",2013
"TRUCHA ARCO IRIS","VI",0,"fresh",2013
"TURBOT","VI",0,"fresh",2013
"ABALON JAPONES","VI",0,"fresh",2013
"ABALON ROJO","VI",0,"fresh",2013
"ALMEJA","VI",0,"fresh",2013
"CARACOL LOCATE","VI",0,"fresh",2013
"CARACOL PALO PALO","VI",0,"fresh",2013
"CHOLGA","VI",0,"fresh",2013
"CHORITO","VI",0,"fresh",2013
"CHORO","VI",0,"fresh",2013
"CULENGUE","VI",0,"fresh",2013
"HUEPO O NAVAJA DE MAR","VI",0,"fresh",2013
"JIBIA O CALAMAR ROJO","VI",0,"fresh",2013
"LAPA NEGRA","VI",0,"fresh",2013
"LOCO","VI",0,"fresh",2013
"MACHA","VI",0,"fresh",2013
"NAVAJUELA","VI",0,"fresh",2013
"OSTION DEL NORTE","VI",0,"fresh",2013
"OSTION DEL SUR","VI",0,"fresh",2013
"PULPO","VI",0,"fresh",2013
"PULPO DEL SUR","VI",0,"fresh",2013
"TAQUILLA","VI",0,"fresh",2013
"TUMBAO","VI",0,"fresh",2013
"CAMARON NAILON","VI",0,"fresh",2013
"CENTOLLA","VI",0,"fresh",2013
"JAIBA MARMOLA","VI",0,"fresh",2013
"JAIBA PELUDA O PACHONA","VI",0,"fresh",2013
"ERIZO","VI",0,"fresh",2013
"PIURE","VI",0,"fresh",2013
"COCHAYUYO","VII",0,"fresh",2013
"ALBACORA O PEZ ESPADA","VII",0,"fresh",2013
"ATUN OJOS GRANDES","VII",0,"fresh",2013
"AZULEJO","VII",0,"fresh",2013
"BACALAO DE PROFUNDIDAD","VII",0,"fresh",2013
"BESUGO","VII",0,"fresh",2013
"CABALLA","VII",0,"fresh",2013
"CONGRIO COLORADO","VII",0,"fresh",2013
"CONGRIO DORADO","VII",0,"fresh",2013
