"species","region","tons","product","year","sc_name","en_name"
"BACALADILLO O MOTE","XII",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XII",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","XII",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XII",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XII",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XII",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","XII",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","XII",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","XII",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","XII",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","RM",0,"oil",2013,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","RM",0,"oil",2013,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","RM",0,"oil",2013,"Normanichthys crockeri","Mote sculpin"
"CABALLA","RM",0,"oil",2013,"Scomber japonicus","Chub mackerel"
"JUREL","RM",0,"oil",2013,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","RM",0,"oil",2013,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","RM",0,"oil",2013,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","RM",0,"oil",2013,"Stromateus stellatus","Starry butterfish"
"PESCADO NO CLASIFICADO","RM",0,"oil",2013,"Pescado","Fish"
"SARDINA AUSTRAL","RM",0,"oil",2013,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","RM",0,"oil",2013,"Strangomera bentincki","Araucanian herring"
"JIBIA O CALAMAR ROJO","RM",0,"oil",2013,"Dosidicus gigas","Jumbo flying squid"
"AGUJILLA","XV",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","XV",3886,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","XV",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","XV",8,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","XV",29,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","XV",20,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","XV",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","XV",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","XV",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","XV",0,"oil",2014,"Pescado","Fish"
