"species","region","tons","product","year","sc_name","en_name"
"CHASCON O HUIRO NEGRO","XIV",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","XIV",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","XIV",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","XIV",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","XIV",3,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","XIV",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","XIV",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","XIV",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","XIV",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","XIV",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","XIV",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","XIV",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","X",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","X",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","X",16,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","X",3,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","X",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","X",0,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","X",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","X",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","X",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","X",42,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","X",410,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","X",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","X",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","XI",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","XI",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","XI",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","XI",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","XI",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","XI",0,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","XI",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","XI",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","XI",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","XI",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","XI",0,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","XI",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","XI",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","XII",0,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","XII",0,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","XII",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","XII",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","XII",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","XII",0,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","XII",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","XII",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","XII",0,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","XII",0,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","XII",1767,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","XII",0,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","XII",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","RM",36,"dry algae",2013,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","RM",26,"dry algae",2013,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","RM",0,"dry algae",2013,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","RM",0,"dry algae",2013,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","RM",0,"dry algae",2013,"Haematococcus pluvialis","Haematococcus"
"HUIRO","RM",75,"dry algae",2013,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","RM",0,"dry algae",2013,"Lessonia trabeculata","Giant brown kelp"
"LUCHE","RM",0,"dry algae",2013,"Porphyra columbina","Luche"
"LUGA CUCHARA O CORTA","RM",74,"dry algae",2013,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","RM",1294,"dry algae",2013,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","RM",111,"dry algae",2013,"Gigartina skottsbergii","Red luga"
"PELILLO","RM",296,"dry algae",2013,"Gracilaria spp.","Red algae gracilaria"
"SPIRULINA","RM",0,"dry algae",2013,"Spirulina spp.","Spirulina"
"CHASCA","XV",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","XV",0,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","XV",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","XV",0,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","XV",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","XV",0,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","XV",0,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","XV",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","XV",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","XV",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","XV",0,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","I",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","I",10702,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","I",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","I",0,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","I",4,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","I",636,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","I",635,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","I",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","I",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","I",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","I",0,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","II",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","II",21334,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","II",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","II",0,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","II",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","II",588,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","II",2703,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","II",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","II",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","II",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","II",29,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","III",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","III",14342,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","III",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","III",159,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","III",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","III",734,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","III",4095,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","III",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","III",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","III",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","III",0,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","IV",5,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","IV",4307,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","IV",50,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","IV",74,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","IV",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","IV",1410,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","IV",3223,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","IV",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","IV",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","IV",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","IV",381,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","V",72,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","V",1331,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","V",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","V",141,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","V",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","V",59,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","V",663,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","V",156,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","V",108,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","V",108,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","V",969,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","VI",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","VI",19,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","VI",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","VI",134,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","VI",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","VI",0,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","VI",0,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","VI",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","VI",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","VI",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
"PELILLO","VI",0,"dry algae",2014,"Gracilaria spp.","Red algae gracilaria"
"CHASCA","VII",0,"dry algae",2014,"Gelidium rex","Red algae"
"CHASCON O HUIRO NEGRO","VII",0,"dry algae",2014,"Lessonia nigrescens","Giant grey kelp"
"CHICOREA DE MAR","VII",0,"dry algae",2014,"Chondracanthus chamissoi","Red algae chicorea"
"COCHAYUYO","VII",56,"dry algae",2014,"Durvillaea antarctica","New Zealand bull"
"HAEMATOCOCCUS","VII",0,"dry algae",2014,"Haematococcus pluvialis","Haematococcus"
"HUIRO","VII",0,"dry algae",2014,"Macrocystis spp.","Giant kelp"
"HUIRO PALO","VII",0,"dry algae",2014,"Lessonia trabeculata","Giant brown kelp"
"LUGA CUCHARA O CORTA","VII",0,"dry algae",2014,"Mazzaella laminarioides","Luga"
"LUGA NEGRA O CRESPA","VII",0,"dry algae",2014,"Sarcothalia crispata","Black algae luga"
"LUGA-ROJA","VII",0,"dry algae",2014,"Gigartina skottsbergii","Red luga"
