"year","region","especie_SERNAPESCA","nombre_cientifico_SERNAPESCA","tons"
2013,9,"CENTOLLA","Lithodes santolla",11.0985
2013,9,"SALMON REY","Oncorhynchus tshawytscha",146.85
2013,10,"ALBACORA O PEZ ESPADA / IVI HEHEU","Xiphias gladius",247.72802
2013,10,"ALGAS MIXTAS",NA,1522.758
2013,10,"ALMEJA","Venus antiqua",255.2686
2013,10,"ALMEJA O TACA","Protothaca taca",255.2686
2013,10,"BACALAO ANTARTICO","Dissostichus mawsoni",9.6311
2013,10,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",343.87083
2013,10,"CABALLA","Scomber japonicus",38.2198
2013,10,"CAMARON NAVAJA","Campylonotus semistriatus",0.035
2013,10,"CARACOL PALO PALO","Argobuccinum spp.",24.97505
2013,10,"CAROLA","Callophyllis variegata",1522.758
2013,10,"CENTOLLA","Lithodes santolla",704.36592
2013,10,"CENTOLLA DEL NORTE","Lithodes spp.",1.034
2013,10,"CENTOLLON","Paralomis granulosa",3.00869
2013,10,"CENTOLLON DEL NORTE","NA",78.16354
2013,10,"CHASCON O HUIRO NEGRO","Lessonia nigrescens",26.5462
2013,10,"CHOLGA","Aulacomya ater",68586.75323
2013,10,"CHORITO","Mytilus chilensis",13.692
2013,10,"CHORO","Choromytilus chorus",68586.75323
2013,10,"COCHAYUYO","Durvillaea antarctica",52.033
2013,10,"COJINOBA DEL NORTE / PIAFRI","Seriolella violacea",3.33567
2013,10,"COJINOBA DEL SUR O AZUL","Seriolella caerulea",3.33567
2013,10,"COJINOBA MOTEADA","Seriolella punctata",3.33567
2013,10,"CONGRIO COLORADO","Genypterus chilensis",21.94008
2013,10,"CONGRIO DORADO","Genypterus blacodes",45.67577
2013,10,"CONGRIO NEGRO","Genypterus maculatus",21.94008
2013,10,"CULENGUE","Gari solida",133.1313
2013,10,"ERIZO","Loxechinus albus",290.923
2013,10,"HUEPO O NAVAJA DE MAR","Ensis macha",301.00339
2013,10,"HUIRO","Macrocystis spp.",1032.744
2013,10,"JAIBA","Cancer spp.",141.37366
2013,10,"JAIBA LIMON","Cancer porteri",141.37366
2013,10,"JAIBA MARMOLA","Cancer edwardsi",141.37366
2013,10,"JAIBA MORA","Homalaspis plana",141.37366
2013,10,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",141.37366
2013,10,"JAIBA PELUDA O PACHONA","Cancer setosus",141.37366
2013,10,"JAIBA REINA","Cancer coronatus",141.37366
2013,10,"JAIBA REMADORA","Ovalipes trimaculatus",141.37366
2013,10,"JULIANA O TAWERA","Tawera gayi",230.05047
2013,10,"JUREL","Trachurus murphyi",39302.2037
2013,10,"LANGOSTINO AMARILLO","Cervimunida johni",15.927
2013,10,"LANGOSTINO COLORADO","Pleuroncodes monodon",643.16136
2013,10,"LOCO","Concholepas concholepas",96.56078
2013,10,"MACHA","Mesodesma donacium",86.16199
2013,10,"MERLUZA COMUN","Merluccius gayi gayi",2125.00331
2013,10,"MERLUZA DE COLA","Macruronus magellanicus",469.63327
2013,10,"MERLUZA DEL ATLANTICO","Merluccius hubbsi",482.38776
2013,10,"MERLUZA DEL SUR O AUSTRAL","Merluccius australis",3525.81683
2013,10,"NAVAJUELA","Tagelus dombeii",988.25398
2013,10,"OSTION DEL NORTE","Argopecten purpuratus",5.21861
2013,10,"PEJERREY DE MAR","Odontesthes regia",124.7872
2013,10,"PEPINO DE MAR","Athyonidium chilensis",35.7194
2013,10,"PULPO DEL NORTE","Octopus (vulgaris) mimus",1.037
2013,10,"REINETA","Brama australis",21.78447
2013,10,"SALMON REY","Oncorhynchus tshawytscha",104069.46608
2013,10,"SARDINA AUSTRAL","Sprattus fuegensis",2.28732
2013,10,"SARDINA COMUN","Strangomera bentincki",2.28732
2013,10,"SARDINA ESPANOLA","Sardinops sagax",24.681
2013,10,"TRUCHA ARCOIRIS","Oncorhynchus mykiss",111577.02365
2013,11,"BACALAO DE PROFUNDIDAD","Dissostichus eleginoides",2.16204
2013,11,"BROTULA","Salilota australis",13.99398
2013,11,"CENTOLLA","Lithodes santolla",74.98574
2013,11,"COJINOBA DEL NORTE / PIAFRI","Seriolella violacea",158.78507
2013,11,"COJINOBA DEL SUR O AZUL","Seriolella caerulea",158.78507
2013,11,"COJINOBA MOTEADA","Seriolella punctata",158.78507
2013,11,"CONGRIO COLORADO","Genypterus chilensis",7.4616
2013,11,"CONGRIO DORADO","Genypterus blacodes",283.04412
2013,11,"CONGRIO NEGRO","Genypterus maculatus",7.4616
2013,11,"JAIBA","Cancer spp.",79.83214
2013,11,"JAIBA LIMON","Cancer porteri",79.83214
2013,11,"JAIBA MARMOLA","Cancer edwardsi",79.83214
2013,11,"JAIBA MORA","Homalaspis plana",79.83214
2013,11,"JAIBA PANCHOTE O CANGREJO","Taliepus dentatus",79.83214
2013,11,"JAIBA PELUDA O PACHONA","Cancer setosus",79.83214
