"year","region","sc_name","total_NHC"
2014,"RM","Sciaena deliciosa",0
2014,"RM","Scomber japonicus",0
2014,"RM","Scomberesox saurus scombroides",0
2014,"RM","Seriolella caerulea",0
2014,"RM","Sprattus fuegensis",0
2014,"RM","Strangomera bentincki",0
2014,"RM","Stromateus stellatus",0
2014,"RM","Thyrsites atun",0
2014,"RM","Trachurus murphyi",0
2014,"V","Brama australis",0
2014,"V","Chondracanthus chamissoi",0
2014,"V","Cilus gilberti",0
2014,"V","Dosidicus gigas",0
2014,"V","Durvillaea antarctica",141
2014,"V","Engraulis ringens",3382
2014,"V","Ethmidium maculatum",72
2014,"V","Gelidium rex",178
2014,"V","Gigartina skottsbergii",108
2014,"V","Gracilaria spp.",20220
2014,"V","Haematococcus pluvialis",0
2014,"V","Isacia conceptionis",0
2014,"V","Lessonia nigrescens",1331
2014,"V","Lessonia trabeculata",663
2014,"V","Loligo gahi",0
2014,"V","Macrocystis spp.",59
2014,"V","Macruronus magellanicus",0
2014,"V","Mazzaella laminarioides",156
2014,"V","Normanichthys crockeri",3
2014,"V","Odontesthes regia",0
2014,"V","Pescado",0
2014,"V","Pleuroncodes monodon",0
2014,"V","Pleuroncodes sp",0
2014,"V","Sarcothalia crispata",108
2014,"V","Sardinops sagax",0
2014,"V","Sciaena deliciosa",0
2014,"V","Scomber japonicus",0
2014,"V","Scomberesox saurus scombroides",0
2014,"V","Seriolella caerulea",0
2014,"V","Sprattus fuegensis",0
2014,"V","Strangomera bentincki",8968
2014,"V","Stromateus stellatus",0
2014,"V","Thyrsites atun",0
2014,"V","Trachurus murphyi",0
2014,"VI","Brama australis",0
2014,"VI","Chondracanthus chamissoi",0
2014,"VI","Cilus gilberti",0
2014,"VI","Dosidicus gigas",0
2014,"VI","Durvillaea antarctica",134
2014,"VI","Engraulis ringens",0
2014,"VI","Ethmidium maculatum",0
2014,"VI","Gelidium rex",0
2014,"VI","Gigartina skottsbergii",0
2014,"VI","Gracilaria spp.",0
2014,"VI","Haematococcus pluvialis",0
2014,"VI","Isacia conceptionis",0
2014,"VI","Lessonia nigrescens",19
2014,"VI","Lessonia trabeculata",0
2014,"VI","Loligo gahi",0
2014,"VI","Macrocystis spp.",0
2014,"VI","Macruronus magellanicus",0
