"species","region","tons","product","year","sc_name","en_name"
"MACHUELO O TRITRE","V",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","V",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","V",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","V",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","V",0,"oil",2014,"Pescado","Fish"
"REINETA","V",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","V",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","V",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","V",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","V",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","V",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","V",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","VI",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VI",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VI",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VI",0,"oil",2014,"Scomber japonicus","Chub mackerel"
"JUREL","VI",0,"oil",2014,"Trachurus murphyi","Chilean jack mackerel"
"MACHUELO O TRITRE","VI",0,"oil",2014,"Ethmidium maculatum","Pacific menhaden"
"MERLUZA DE COLA","VI",0,"oil",2014,"Macruronus magellanicus","Patagonian grenadier"
"PAMPANITO","VI",0,"oil",2014,"Stromateus stellatus","Starry butterfish"
"PEJERREY DE MAR","VI",0,"oil",2014,"Odontesthes regia","Chilean silverside"
"PESCADO NO CLASIFICADO","VI",0,"oil",2014,"Pescado","Fish"
"REINETA","VI",0,"oil",2014,"Brama australis","Southern rays bream"
"SARDINA AUSTRAL","VI",0,"oil",2014,"Sprattus fuegensis","Falkland sprat"
"SARDINA COMUN","VI",0,"oil",2014,"Strangomera bentincki","Araucanian herring"
"CALAMAR","VI",0,"oil",2014,"Loligo gahi","Patagonian squid"
"JIBIA O CALAMAR ROJO","VI",0,"oil",2014,"Dosidicus gigas","Jumbo flying squid"
"LANGOSTINO COLORADO","VI",0,"oil",2014,"Pleuroncodes monodon","Red squat lobster"
"LANGOSTINO ENANO","VI",0,"oil",2014,"Pleuroncodes sp","Squat lobster"
"AGUJILLA","VII",0,"oil",2014,"Scomberesox saurus scombroides","King gar"
"ANCHOVETA","VII",0,"oil",2014,"Engraulis ringens","Anchoveta"
"BACALADILLO O MOTE","VII",0,"oil",2014,"Normanichthys crockeri","Mote sculpin"
"CABALLA","VII",0,"oil",2014,"Scomber japonicus","Chub mackerel"
