chl_name,sc_name,en_name,group,en_group,trade_name
ROBALO,Eleginops maclovinus,Patagonian blennie,pescado_otros,Fish,Patagonian blennie
ROCOCO,Paralonchurus peruanus,Peruvian banded croaker,pescado_otros,Fish,Peruvian banded croaker
ROLLIZO,Pinguipes chilensis,Chilean sandperch,pescado_otros,Fish,Chilean sandperch
RONCACHO,Sciaena deliciosa,Lorna drum,pescado_otros,Fish,Lorna drum
SARDINA AUSTRAL,Sprattus fuegensis,Falkland sprat,sardina,Sprat and herring,Sardines
SARDINA AUSTRAL O DEL SUR,Sprattus fuegensis,Falkland sprat,sardina,Sprat and herring,Sardines
SARDINA COMUN,Strangomera bentincki,Araucanian herring,sardina,Sprat and herring,Sardines
SARDINA,Strangomera bentincki,Araucanian herring,sardina,Sprat and herring,Sardines
SARDINA ESPANOLA,Sardinops sagax,South American pilchard,sardina,Sprat and herring,Sardines
SARGO,Anisotremus scapularis,Peruvian grunt,pescado_otros,Fish,Peruvian grunt
SIERRA,Thyrsites atun,Snoek,tiburon,Shark,Mackerel
TAQUILLA,Mulinia edulis,Taquilla,almeja_otras,Clams,Clams
TIBURON O MARRAJO,Isurus oxyrinchus,Shortfin mako,tiburon,Shark,Shark
MARRAJO O TIBURON,Isurus oxyrinchus,Shortfin mako,tiburon,Shark,Shark
TIBURON SARDINERO,Lamna nasus,Porbeagle,tiburon,Shark,Shark
TOLLO O FUME,Mustelus mento,Speckled smooth-hound,tiburon,Shark,Shark
TOLLO,Mustelus mento,Speckled smooth-hound,tiburon,Shark,Shark
TOMOYO,Labrisomus philippii,Chalapo clinid,pescado_otros,Fish,Chalapo clinid
TUMBAO,Semele solida,Tumbao,almeja_otras,Clams,Clams
TOREMO,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack
"VIDRIOLA,  PALOMETA  DORADO O TOREMO",Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack
"VIDRIOLA, PALOMETA, DORADO O TOREMO",Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack
PALOMETA,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack
PALOMERTA,Seriola lalandi,Yellowtail amberjack,pescado_otros,Fish,Yellowtail amberjack
VIEJA O MULATA,Graus nigra,Vieja,pescado_otros,Fish,Vieja
ALBACORA O PEZ ESPADA / IVI HEHEU,Xiphias gladius,Swordfish,atunes,Tuna,Swordfish
ANGUILA BABOSA,Eptatretus polytrema,Fourteen-gill hagfish,anguila,Eel,Eel
ATUN ALETA AMARILLA / KAHI AVE AVE,Thunnus albacares,Yellowfin tuna,atunes,Tuna,Tuna
"BACALAO I.PASCUA, ATUN ESCOFINA/KONSO",Ruvettus pretiosus,Oilfish,pescado_otros,Fish,Oilfish
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO",Ruvettus pretiosus,Oilfish,pescado_otros,Fish,Oilfish
CABRILLA ESPANOLA,Sebastes capensis,Cape redfish,pescado_otros,Fish,Cape redfish
CHASQUE O CHALACO,Auchenionchus spp.,Chalaco,pescado_otros,Fish,Chalaco
