"species","region","tons","product","year"
"REINETA","IX",0,"oil",2014
"SARDINA AUSTRAL","IX",0,"oil",2014
"SARDINA COMUN","IX",0,"oil",2014
"CALAMAR","IX",0,"oil",2014
"JIBIA O CALAMAR ROJO","IX",0,"oil",2014
"LANGOSTINO COLORADO","IX",0,"oil",2014
"LANGOSTINO ENANO","IX",0,"oil",2014
"AGUJILLA","XIV",0,"oil",2014
"ANCHOVETA","XIV",0,"oil",2014
"BACALADILLO O MOTE","XIV",0,"oil",2014
"CABALLA","XIV",0,"oil",2014
"JUREL","XIV",0,"oil",2014
"MACHUELO O TRITRE","XIV",0,"oil",2014
"MERLUZA DE COLA","XIV",0,"oil",2014
"PAMPANITO","XIV",0,"oil",2014
"PEJERREY DE MAR","XIV",0,"oil",2014
"PESCADO NO CLASIFICADO","XIV",0,"oil",2014
"REINETA","XIV",0,"oil",2014
"SARDINA AUSTRAL","XIV",0,"oil",2014
"SARDINA COMUN","XIV",0,"oil",2014
"CALAMAR","XIV",0,"oil",2014
"JIBIA O CALAMAR ROJO","XIV",0,"oil",2014
"LANGOSTINO COLORADO","XIV",0,"oil",2014
"LANGOSTINO ENANO","XIV",0,"oil",2014
"AGUJILLA","X",0,"oil",2014
"ANCHOVETA","X",0,"oil",2014
"BACALADILLO O MOTE","X",0,"oil",2014
"CABALLA","X",0,"oil",2014
"JUREL","X",0,"oil",2014
"MACHUELO O TRITRE","X",0,"oil",2014
"MERLUZA DE COLA","X",0,"oil",2014
"PAMPANITO","X",0,"oil",2014
"PEJERREY DE MAR","X",0,"oil",2014
"PESCADO NO CLASIFICADO","X",0,"oil",2014
"REINETA","X",0,"oil",2014
"SARDINA AUSTRAL","X",0,"oil",2014
"SARDINA COMUN","X",0,"oil",2014
"CALAMAR","X",0,"oil",2014
"JIBIA O CALAMAR ROJO","X",0,"oil",2014
"LANGOSTINO COLORADO","X",0,"oil",2014
"LANGOSTINO ENANO","X",0,"oil",2014
"AGUJILLA","XI",0,"oil",2014
"ANCHOVETA","XI",0,"oil",2014
"BACALADILLO O MOTE","XI",0,"oil",2014
"CABALLA","XI",0,"oil",2014
"JUREL","XI",0,"oil",2014
"MACHUELO O TRITRE","XI",0,"oil",2014
"MERLUZA DE COLA","XI",0,"oil",2014
"PAMPANITO","XI",0,"oil",2014
"PEJERREY DE MAR","XI",0,"oil",2014
"PESCADO NO CLASIFICADO","XI",0,"oil",2014
"REINETA","XI",0,"oil",2014
"SARDINA AUSTRAL","XI",0,"oil",2014
"SARDINA COMUN","XI",0,"oil",2014
"CALAMAR","XI",0,"oil",2014
"JIBIA O CALAMAR ROJO","XI",0,"oil",2014
"LANGOSTINO COLORADO","XI",0,"oil",2014
"LANGOSTINO ENANO","XI",0,"oil",2014
"AGUJILLA","XII",0,"oil",2014
"ANCHOVETA","XII",0,"oil",2014
"BACALADILLO O MOTE","XII",0,"oil",2014
"CABALLA","XII",0,"oil",2014
"JUREL","XII",0,"oil",2014
"MACHUELO O TRITRE","XII",0,"oil",2014
"MERLUZA DE COLA","XII",0,"oil",2014
"PAMPANITO","XII",0,"oil",2014
"PEJERREY DE MAR","XII",0,"oil",2014
"PESCADO NO CLASIFICADO","XII",0,"oil",2014
"REINETA","XII",0,"oil",2014
"SARDINA AUSTRAL","XII",0,"oil",2014
"SARDINA COMUN","XII",0,"oil",2014
"CALAMAR","XII",0,"oil",2014
"JIBIA O CALAMAR ROJO","XII",0,"oil",2014
"LANGOSTINO COLORADO","XII",0,"oil",2014
"LANGOSTINO ENANO","XII",0,"oil",2014
"AGUJILLA","RM",0,"oil",2014
"ANCHOVETA","RM",0,"oil",2014
"BACALADILLO O MOTE","RM",0,"oil",2014
"CABALLA","RM",0,"oil",2014
"JUREL","RM",0,"oil",2014
"MACHUELO O TRITRE","RM",0,"oil",2014
"MERLUZA DE COLA","RM",0,"oil",2014
"PAMPANITO","RM",0,"oil",2014
"PEJERREY DE MAR","RM",0,"oil",2014
"PESCADO NO CLASIFICADO","RM",0,"oil",2014
"REINETA","RM",0,"oil",2014
"SARDINA AUSTRAL","RM",0,"oil",2014
"SARDINA COMUN","RM",0,"oil",2014
"CALAMAR","RM",0,"oil",2014
"JIBIA O CALAMAR ROJO","RM",0,"oil",2014
"LANGOSTINO COLORADO","RM",0,"oil",2014
"LANGOSTINO ENANO","RM",0,"oil",2014
"AGUJILLA","XV",0,"oil",2016
"ANCHOVETA","XV",0,"oil",2016
"BACALADILLO O MOTE","XV",0,"oil",2016
"CABALLA","XV",0,"oil",2016
"JUREL","XV",0,"oil",2016
"MACHUELO O TRITRE","XV",0,"oil",2016
"MERLUZA COMUN","XV",0,"oil",2016
"PAMPANITO","XV",0,"oil",2016
"SARDINA AUSTRAL","XV",0,"oil",2016
"SARDINA COMUN","XV",0,"oil",2016
"SARDINA ESPANOLA","XV",0,"oil",2016
"JIBIA O CALAMAR ROJO","XV",0,"oil",2016
"AGUJILLA","I",0,"oil",2016
"ANCHOVETA","I",0,"oil",2016
"BACALADILLO O MOTE","I",0,"oil",2016
"CABALLA","I",0,"oil",2016
"JUREL","I",0,"oil",2016
"MACHUELO O TRITRE","I",0,"oil",2016
"MERLUZA COMUN","I",0,"oil",2016
"PAMPANITO","I",0,"oil",2016
"SARDINA AUSTRAL","I",0,"oil",2016
"SARDINA COMUN","I",0,"oil",2016
"SARDINA ESPANOLA","I",0,"oil",2016
"JIBIA O CALAMAR ROJO","I",0,"oil",2016
"AGUJILLA","II",0,"oil",2016
"ANCHOVETA","II",0,"oil",2016
"BACALADILLO O MOTE","II",0,"oil",2016
"CABALLA","II",0,"oil",2016
"JUREL","II",0,"oil",2016
"MACHUELO O TRITRE","II",0,"oil",2016
"MERLUZA COMUN","II",0,"oil",2016
"PAMPANITO","II",0,"oil",2016
"SARDINA AUSTRAL","II",0,"oil",2016
"SARDINA COMUN","II",0,"oil",2016
"SARDINA ESPANOLA","II",0,"oil",2016
"JIBIA O CALAMAR ROJO","II",0,"oil",2016
"AGUJILLA","III",0,"oil",2016
"ANCHOVETA","III",0,"oil",2016
"BACALADILLO O MOTE","III",0,"oil",2016
"CABALLA","III",0,"oil",2016
"JUREL","III",0,"oil",2016
"MACHUELO O TRITRE","III",0,"oil",2016
"MERLUZA COMUN","III",0,"oil",2016
"PAMPANITO","III",0,"oil",2016
"SARDINA AUSTRAL","III",0,"oil",2016
"SARDINA COMUN","III",0,"oil",2016
"SARDINA ESPANOLA","III",0,"oil",2016
"JIBIA O CALAMAR ROJO","III",0,"oil",2016
"AGUJILLA","IV",0,"oil",2016
"ANCHOVETA","IV",0,"oil",2016
"BACALADILLO O MOTE","IV",0,"oil",2016
"CABALLA","IV",0,"oil",2016
"JUREL","IV",0,"oil",2016
"MACHUELO O TRITRE","IV",0,"oil",2016
"MERLUZA COMUN","IV",0,"oil",2016
