"","subsector","species","region","international_waters","tons"
"285","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","II",0,NA
"286","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","II",1,NA
"287","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","III",0,NA
"288","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","III",1,NA
"289","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IV",0,3.25
"290","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IV",1,3
"291","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IX",0,NA
"292","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","IX",1,NA
"293","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","R.M.",1,NA
"294","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","V",0,NA
"295","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","V",1,NA
"296","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VI",0,NA
"297","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VI",1,NA
"298","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VII",0,NA
"299","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VII",1,NA
"300","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VIII",0,NA
"301","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","VIII",1,NA
"302","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","X",0,NA
"303","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","X",1,NA
"304","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XI",0,NA
"305","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XI",1,NA
"306","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XII",0,NA
"307","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XII",1,NA
"308","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XIV",0,NA
"309","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XIV",1,NA
"310","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XV",0,NA
"311","artisanal","BACALAO I.PASCUA,ATUN ESCOFINA/KONSO","XV",1,NA
"312","artisanal","BAGRE","I",0,NA
"313","artisanal","BAGRE","II",0,NA
"314","artisanal","BAGRE","III",0,NA
"315","artisanal","BAGRE","IV",0,NA
"316","artisanal","BAGRE","IX",0,NA
"317","artisanal","BAGRE","V",0,NA
"318","artisanal","BAGRE","VI",0,NA
"319","artisanal","BAGRE","VII",0,NA
"320","artisanal","BAGRE","VIII",0,1
"321","artisanal","BAGRE","X",0,NA
"322","artisanal","BAGRE","XI",0,NA
"323","artisanal","BAGRE","XII",0,NA
"324","artisanal","BAGRE","XIV",0,NA
"325","artisanal","BAGRE","XV",0,4
"326","artisanal","BARRACUDA O PETO / KANA KANA","I",0,NA
