"year","trade_name","landing_aqua","NHC","export","import","mean_yield","HC"
2016,"Jellyfish",1048,0,0,0.07996,1,1048.07996
2016,"Jerguilla",3,0,0,0,0.5,1.5
2016,"King crab",9197,0,4483.43534,11.75,0.24375,-2229.91659
2016,"King gar",244,243,0,0,0.5,0.5
2016,"Langostinos",9718,178,1077.79792,24.806,0.225,1093.50808
2016,"Limpet",729,0,0,0,0.266428571428571,194.226428571429
2016,"Lobsters",89,0,5.56,0,0.225,14.465
2016,"Loco",2361,0,448.46572,7.20204,0.225,89.96132
2016,"Lorna drum",92,74,0,0,0.525,9.45
2016,"Machas",1003,0,2.70744,0,0.225,222.96756
2016,"Mackerel",63073,47479,432.392,1502.9187,0.6,10426.9267
2016,"Mackerel icefish",94,0,99.20864,0,0.55,-47.50864
2016,"Mahi Mahi",0,0,0,0,0.6,0
2016,"Marlin",28,0,0,0,0.4875,13.65
2016,"Mote sculpin",20169,19951,0,0,0.5,109
2016,"Mussels",313607,0,73284.77701,243.06494,0.175,-18160.48707
2016,"Navaja de mar",2421,0,775.91368,1.6932,0.225,-229.49548
2016,"Navajuela",4995,0,1637.07545,33.048,0.225,-480.15245
2016,"Navodon",31,0,0,0,0.5,15.5
2016,"Octopus",3215,0,2.28258,0.36781,0.725,2328.96023
2016,"Orange roughy",0,0,0,0,0.5,0
2016,"Other crustaceans",3239,0,0,30.2075,0.2,678.0075
2016,"Other fish",4447,0,1.774,1832.21945,0.5,4053.94545
2016,"Other mollusks",343,0,0,46.328,0.225,123.503
2016,"Oyster",379,0,8.252,0,0.125,39.123
2016,"Pacific chub",0,0,0,0,0.5,0
2016,"Pacific menhaden",9039,8916,0,0,0.55,67.65
2016,"Pacific sandperch",45,0,0,0,0.5,22.5
2016,"Patagonian blennie",280,0,0,0,0.5,140
2016,"Patagonian toothfish",5271,0,3262.07535,0,0.424,-1027.17135
2016,"Pejesapo",0,0,0,0,0.5,0
2016,"Peruvian anchoveta",337436,327771,17.27566,0,0.55,5298.47434
2016,"Peruvian banded croaker",0,0,0,0,0.525,0
2016,"Peruvian grunt",6,0,0,0,0.525,3.15
2016,"Peruvian morwong",57,0,0,0,0.5,28.5
2016,"Peruvian rock seabass",155,0,0,0,0.525,81.375
2016,"Peruvian weakfish",0,0,0,0,0.6,0
2016,"Prawns",29,0,0,0,0.2,5.8
2016,"Rainbow runner",0,0,0,0,0.5,0
2016,"Rays",722,0,0,0,0.5,361
2016,"Rockfish helicolenus",129,1,0,0,0.5,64
2016,"Salmon",643205,0,521076.40497,49.37957,0.5,-199424.5254
2016,"Sardines",304165,299244,2.73856,274.76322,0.5,2732.52466
2016,"Scallop",4567,0,58.992,1.79523,0.15,627.85323
2016,"Sea Chab",1,0,0,0,0.5,0.5
2016,"Sea bream",0,0,0,0,0.5,0
2016,"Sea cucumber",205,0,9.71549,0,1,195.28451
2016,"Sea urchin",29086,0,464.56541,0,0.075,1716.88459
2016,"Shark",655,0,0,0,0.5525,361.8875
2016,"Sheephead",0,0,0,0,0.5,0
2016,"Shrimp",4854,0,520.77995,3356.63753,0.2,3806.65758
2016,"Skipjack tuna",257,64,0,833.59698,0.5375,937.33448
2016,"Snails",806,0,64.77058,0.82242,0.2,97.25184
2016,"Southern rays bream",27586,0,1540.31727,0,0.5,12252.68273
2016,"Splendid alfonsino",0,0,0,0,0.5,0
2016,"Squid",180919,124,0.36528,45.6078,0.785,141969.31752
2016,"Starry butterfish",9268,9140,0,0,0.5,64
2016,"Swordfish",6928,0,2790.29081,0,0.425,154.10919
2016,"Tadpole codling",536,0,147.15477,0,0.5,120.84523
2016,"Trout",84607,0,53264.99117,0,0.5,-10961.49117
2016,"Tuna",39,0,441.64276,23062.74532,0.475,22639.62756
2016,"Turbot",0,0,0,0,0.5,0
2016,"Vieja",4,0,0,0,0.55,2.2
2016,"Warehou",6936,0,3480.98167,0,0.6,680.618329999999
2016,"Yellowtail amberjack",654,0,0,0,0.551666666666667,360.79
2017,"Abalone",1031,0,226.36239,0,0.225,5.61261000000002
2017,"Algae",409130,346860,81362.82448,0,0.75,-34660.32448
2017,"American Elephantfish",667,0,0,0,0.5,333.5
2017,"Anchovy",0,0,0,8.50814,0.55,8.50814
2017,"Cabinza grunt",22,4,0,0,0.5,9
2017,"Chalapo clinid",0,0,0,0,0.5,0
2017,"Chilean grenadier",25,0,0,0,0.5,12.5
2017,"Chilean sandperch",42,0,0,0,0.5,21
2017,"Chilean silverside",550,0,331.7704,0,0.425,-98.0204
2017,"Chilean tunicate",2285,0,0,0,0.125,285.625
2017,"Clams",23522,0,2823.9835,34.76,0.225,2503.2265
2017,"Common galaxias",0,0,0,0,0.5,0
2017,"Corvina drum",725,0,0,0,0.55,398.75
2017,"Crabs",7328,0,1390.25799,88.02632,0.225,346.56833
2017,"Cusk-eel",1907,0,522.62274,0.215,0.5,431.09226
2017,"Eel",40,0,0,0.56,0.4,16.56
2017,"Flathead grey mullet",42,0,0,0,0.6,25.2
2017,"Flounders",29,0,0,0,0.5,14.5
2017,"Giant barnacle",239,0,0,0,0.125,29.875
2017,"Grape-eye seabass",23,14,0,0,0.525,4.725
2017,"Hake",66835,0,21680.32274,310.53637,0.5,12047.71363
2017,"Hapuku wreckfish",1,0,0.016,0,0.424,0.408
2017,"Huaiquil",11,0,0,0,0.5,5.5
2017,"Jack mackerel",355296,153474,119011.24864,9436.29425,0.5,-8663.95438999999
2017,"Jellyfish",924,0,0,0,1,924
2017,"Jerguilla",4,0,0,0,0.5,2
2017,"King crab",11156,0,5821.09831,19.74984,0.24375,-3082.07347
2017,"King gar",19,18,0,0,0.5,0.5
2017,"Langostinos",10249,657,862.15996,0.002,0.225,1296.04204
2017,"Limpet",617,0,35.82731,0,0.266428571428571,128.559118571429
2017,"Lobsters",67,0,74.75789,0,0.225,-59.68289
2017,"Loco",2698,0,778.51594,0,0.225,-171.46594
2017,"Lorna drum",73,57,0,0,0.525,8.4
2017,"Machas",2569,0,101.59019,0,0.225,476.43481
2017,"Mackerel",69561,61409,2557.1251,2133.0969,0.6,4467.1718
