"year","region","sc_name","total_NHC"
2014,"III","Pescado",0
2014,"III","Pleuroncodes monodon",0
2014,"III","Pleuroncodes sp",0
2014,"III","Sardinops sagax",1
2014,"III","Sciaena deliciosa",0
2014,"III","Scomber japonicus",5026
2014,"III","Scomberesox saurus scombroides",1
2014,"III","Seriolella caerulea",0
2014,"III","Sprattus fuegensis",0
2014,"III","Strangomera bentincki",0
2014,"III","Stromateus stellatus",0
2014,"III","Thyrsites atun",0
2014,"III","Trachurus murphyi",3650
2014,"IV","Brama australis",0
2014,"IV","Cilus gilberti",0
2014,"IV","Dosidicus gigas",5
2014,"IV","Engraulis ringens",20263
2014,"IV","Ethmidium maculatum",2275
2014,"IV","Isacia conceptionis",0
2014,"IV","Loligo gahi",0
2014,"IV","Macruronus magellanicus",0
2014,"IV","Normanichthys crockeri",543
2014,"IV","Odontesthes regia",0
2014,"IV","Pescado",0
2014,"IV","Pleuroncodes monodon",0
2014,"IV","Pleuroncodes sp",0
2014,"IV","Sardinops sagax",0
2014,"IV","Sciaena deliciosa",0
2014,"IV","Scomber japonicus",124
2014,"IV","Scomberesox saurus scombroides",8
2014,"IV","Seriolella caerulea",0
2014,"IV","Sprattus fuegensis",0
2014,"IV","Strangomera bentincki",0
2014,"IV","Stromateus stellatus",0
2014,"IV","Thyrsites atun",0
2014,"IV","Trachurus murphyi",4256
2014,"IX","Brama australis",0
2014,"IX","Cilus gilberti",0
2014,"IX","Dosidicus gigas",0
2014,"IX","Engraulis ringens",0
2014,"IX","Ethmidium maculatum",0
2014,"IX","Isacia conceptionis",0
2014,"IX","Loligo gahi",0
2014,"IX","Macruronus magellanicus",0
2014,"IX","Normanichthys crockeri",0
2014,"IX","Odontesthes regia",0
2014,"IX","Pescado",0
2014,"IX","Pleuroncodes monodon",0
2014,"IX","Pleuroncodes sp",0
2014,"IX","Sardinops sagax",0
2014,"IX","Sciaena deliciosa",0
2014,"IX","Scomber japonicus",0
2014,"IX","Scomberesox saurus scombroides",0
2014,"IX","Seriolella caerulea",0
2014,"IX","Sprattus fuegensis",0
2014,"IX","Strangomera bentincki",0
2014,"IX","Stromateus stellatus",0
2014,"IX","Thyrsites atun",0
2014,"IX","Trachurus murphyi",0
2014,"RM","Brama australis",0
2014,"RM","Cilus gilberti",0
2014,"RM","Dosidicus gigas",0
2014,"RM","Engraulis ringens",0
2014,"RM","Ethmidium maculatum",0
2014,"RM","Isacia conceptionis",0
2014,"RM","Loligo gahi",0
2014,"RM","Macruronus magellanicus",0
2014,"RM","Normanichthys crockeri",0
2014,"RM","Odontesthes regia",0
2014,"RM","Pescado",0
2014,"RM","Pleuroncodes monodon",0
2014,"RM","Pleuroncodes sp",0
2014,"RM","Sardinops sagax",0
2014,"RM","Sciaena deliciosa",0
2014,"RM","Scomber japonicus",0
2014,"RM","Scomberesox saurus scombroides",0
2014,"RM","Seriolella caerulea",0
2014,"RM","Sprattus fuegensis",0
2014,"RM","Strangomera bentincki",0
2014,"RM","Stromateus stellatus",0
2014,"RM","Thyrsites atun",0
2014,"RM","Trachurus murphyi",0
2014,"V","Brama australis",0
2014,"V","Cilus gilberti",0
2014,"V","Dosidicus gigas",0
2014,"V","Engraulis ringens",3382
2014,"V","Ethmidium maculatum",72
2014,"V","Isacia conceptionis",0
2014,"V","Loligo gahi",0
2014,"V","Macruronus magellanicus",0
2014,"V","Normanichthys crockeri",3
2014,"V","Odontesthes regia",0
2014,"V","Pescado",0
2014,"V","Pleuroncodes monodon",0
2014,"V","Pleuroncodes sp",0
2014,"V","Sardinops sagax",0
2014,"V","Sciaena deliciosa",0
2014,"V","Scomber japonicus",0
2014,"V","Scomberesox saurus scombroides",0
2014,"V","Seriolella caerulea",0
2014,"V","Sprattus fuegensis",0
2014,"V","Strangomera bentincki",8968
2014,"V","Stromateus stellatus",0
2014,"V","Thyrsites atun",0
2014,"V","Trachurus murphyi",0
2014,"VI","Brama australis",0
2014,"VI","Cilus gilberti",0
2014,"VI","Dosidicus gigas",0
2014,"VI","Engraulis ringens",0
2014,"VI","Ethmidium maculatum",0
2014,"VI","Isacia conceptionis",0
2014,"VI","Loligo gahi",0
2014,"VI","Macruronus magellanicus",0
2014,"VI","Normanichthys crockeri",0
2014,"VI","Odontesthes regia",0
2014,"VI","Pescado",0
2014,"VI","Pleuroncodes monodon",0
2014,"VI","Pleuroncodes sp",0
2014,"VI","Sardinops sagax",0
2014,"VI","Sciaena deliciosa",0
2014,"VI","Scomber japonicus",0
2014,"VI","Scomberesox saurus scombroides",0
2014,"VI","Seriolella caerulea",0
2014,"VI","Sprattus fuegensis",0
2014,"VI","Strangomera bentincki",0
2014,"VI","Stromateus stellatus",0
2014,"VI","Thyrsites atun",0
2014,"VI","Trachurus murphyi",0
2014,"VII","Brama australis",0
2014,"VII","Cilus gilberti",0
2014,"VII","Dosidicus gigas",0
2014,"VII","Engraulis ringens",0
2014,"VII","Ethmidium maculatum",0
2014,"VII","Isacia conceptionis",0
2014,"VII","Loligo gahi",0
2014,"VII","Macruronus magellanicus",0
2014,"VII","Normanichthys crockeri",0
2014,"VII","Odontesthes regia",0
2014,"VII","Pescado",0
2014,"VII","Pleuroncodes monodon",0
2014,"VII","Pleuroncodes sp",0
2014,"VII","Sardinops sagax",0
2014,"VII","Sciaena deliciosa",0
2014,"VII","Scomber japonicus",0
2014,"VII","Scomberesox saurus scombroides",0
2014,"VII","Seriolella caerulea",0
2014,"VII","Sprattus fuegensis",0
2014,"VII","Strangomera bentincki",0
2014,"VII","Stromateus stellatus",0
2014,"VII","Thyrsites atun",0
2014,"VII","Trachurus murphyi",0
2014,"VIII","Brama australis",31
2014,"VIII","Cilus gilberti",5
2014,"VIII","Dosidicus gigas",7455
2014,"VIII","Engraulis ringens",54497
2014,"VIII","Ethmidium maculatum",4518
2014,"VIII","Isacia conceptionis",0
2014,"VIII","Loligo gahi",9
2014,"VIII","Macruronus magellanicus",51
2014,"VIII","Normanichthys crockeri",42439
2014,"VIII","Odontesthes regia",34
2014,"VIII","Pescado",57
2014,"VIII","Pleuroncodes monodon",21
2014,"VIII","Pleuroncodes sp",0
2014,"VIII","Sardinops sagax",7
2014,"VIII","Sciaena deliciosa",0
2014,"VIII","Scomber japonicus",7318
2014,"VIII","Scomberesox saurus scombroides",14
2014,"VIII","Seriolella caerulea",3
2014,"VIII","Sprattus fuegensis",474
2014,"VIII","Strangomera bentincki",442624
2014,"VIII","Stromateus stellatus",3256
2014,"VIII","Thyrsites atun",1
2014,"VIII","Trachurus murphyi",55755
2014,"X","Brama australis",0
2014,"X","Cilus gilberti",0
2014,"X","Dosidicus gigas",0
2014,"X","Engraulis ringens",184
2014,"X","Ethmidium maculatum",0
2014,"X","Isacia conceptionis",0
2014,"X","Loligo gahi",0
2014,"X","Macruronus magellanicus",1
2014,"X","Normanichthys crockeri",61
2014,"X","Odontesthes regia",0
2014,"X","Pescado",0
2014,"X","Pleuroncodes monodon",0
2014,"X","Pleuroncodes sp",62
2014,"X","Sardinops sagax",0
2014,"X","Sciaena deliciosa",0
2014,"X","Scomber japonicus",0
2014,"X","Scomberesox saurus scombroides",0
2014,"X","Seriolella caerulea",0
2014,"X","Sprattus fuegensis",22779
2014,"X","Strangomera bentincki",2952
2014,"X","Stromateus stellatus",9
2014,"X","Thyrsites atun",0
2014,"X","Trachurus murphyi",0
2014,"XI","Brama australis",0
2014,"XI","Cilus gilberti",0
2014,"XI","Dosidicus gigas",0
2014,"XI","Engraulis ringens",0
2014,"XI","Ethmidium maculatum",0
2014,"XI","Isacia conceptionis",0
2014,"XI","Loligo gahi",0
2014,"XI","Macruronus magellanicus",0
2014,"XI","Normanichthys crockeri",0
2014,"XI","Odontesthes regia",0
2014,"XI","Pescado",0
2014,"XI","Pleuroncodes monodon",0
2014,"XI","Pleuroncodes sp",0
2014,"XI","Sardinops sagax",0
2014,"XI","Sciaena deliciosa",0
2014,"XI","Scomber japonicus",0
2014,"XI","Scomberesox saurus scombroides",0
2014,"XI","Seriolella caerulea",0
2014,"XI","Sprattus fuegensis",0
2014,"XI","Strangomera bentincki",0
2014,"XI","Stromateus stellatus",0
2014,"XI","Thyrsites atun",0
2014,"XI","Trachurus murphyi",0
2014,"XII","Brama australis",0
2014,"XII","Cilus gilberti",0
2014,"XII","Dosidicus gigas",0
2014,"XII","Engraulis ringens",0
2014,"XII","Ethmidium maculatum",0
2014,"XII","Isacia conceptionis",0
2014,"XII","Loligo gahi",0
2014,"XII","Macruronus magellanicus",0
2014,"XII","Normanichthys crockeri",0
2014,"XII","Odontesthes regia",0
2014,"XII","Pescado",0
2014,"XII","Pleuroncodes monodon",0
2014,"XII","Pleuroncodes sp",0
2014,"XII","Sardinops sagax",0
2014,"XII","Sciaena deliciosa",0
2014,"XII","Scomber japonicus",0
2014,"XII","Scomberesox saurus scombroides",0
2014,"XII","Seriolella caerulea",0
2014,"XII","Sprattus fuegensis",0
2014,"XII","Strangomera bentincki",0
2014,"XII","Stromateus stellatus",0
2014,"XII","Thyrsites atun",0
