especie_SERNAPESCA,nombre_cientifico_SERNAPESCA,nombre_cientifico_aduana,codigo_aduana,combined_with_other_species,product_more_20_percent,alive
SALMON REY                               ,Oncorhynchus tshawytscha,Salmones del Pacifico,0305.6915,1,0,0
SALMON REY                               ,Oncorhynchus tshawytscha,Salmones del Pacifico,0305.6916,1,0,0
SALMON REY                               ,Oncorhynchus tshawytscha,Salmones del Pacifico,0305.6919,1,0,0
SALMON REY                               ,Oncorhynchus tshawytscha,Salmones del Pacifico,0511.9111,1,0,1
SARDINA AUSTRAL                          ,Sprattus fuegensis,Sardinas,1604.1311,1,1,0
SARDINA AUSTRAL                          ,Sprattus fuegensis,Sardinas,1604.1312,1,1,0
SARDINA AUSTRAL                          ,Sprattus fuegensis,Sardinas,1604.1319,1,1,0
SARDINA COMUN                            ,Strangomera bentincki,Sardinas,1604.1311,1,1,0
SARDINA COMUN                            ,Strangomera bentincki,Sardinas,1604.1312,1,1,0
SARDINA COMUN                            ,Strangomera bentincki,Sardinas,1604.1319,1,1,0
SARDINA COMUN                            ,Strangomera bentincki,NA,NA,NA,NA,NA
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0302.4311,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0302.4312,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0302.4319,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0303.5311,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0303.5312,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0303.5319,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0304.4970,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0304.8971,0,0,0
SARDINA ESPAÑOLA                       ,Sardinops sagax ,Sardinops sagax ,0304.9961,0,0,0
SARGO                        ,Anisotremus scapularis,Sparidae,0302.8500,0,0,0
SIERRA                                   ,Thyrsites atun,NA,NA,NA,NA,NA
"TIBURON FUME, GRIS O GATA DE MAR         ",Hexanchus griseus,Hexanchus griseus,0302.8121,0,0,0
