PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2009,1,VIII,310,TOMÉ,640,Jaiba,"500,000",,1.50,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,227,Congrio colorado,"2,000,000",,0.02,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,234,Jurel,"1,000,000",,0.06,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,260,Pejerrey de mar,"1,500,000",,0.02,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,274,Reineta,"1,000,000",,0.03,L,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,282,Sierra,"1,500,000",,0.03,L,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,425,Cholga,"700,000",,0.05,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,435,Choro,"950,000",,0.02,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,644,Picoroco,"2,000,000",,0.05,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,652,Jaiba mora,"1,000,000",,0.01,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,653,Jaiba peluda,"1,000,000",,0.07,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,655,Jaiba remadora,"1,000,000",,0.06,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,820,Piure,"500,000",,0.08,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,406,Almeja o taca,"750,000",,0.04,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,408,Tumbao,"450,000",,0.02,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,435,Choro,"980,000",,0.03,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,465,Navajuela,"800,000",,0.06,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,211,Azulejo,"2,000,000",,0.02,L,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,227,Congrio colorado,"2,000,000",,0.03,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,242,Merluza común,"750,000",,0.02,L,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,274,Reineta,"600,000",,0.04,L,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,282,Sierra,"1,500,000",,0.07,L,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,644,Picoroco,"1,000,000",,0.01,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,652,Jaiba mora,"1,000,000",,0.06,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,653,Jaiba peluda,"1,000,000",,0.03,B,BN,CHD,,,
2009,1,VIII,324,TALCAHUANO,820,Piure,"400,000",,0.08,B,BN,CHD,,,
2009,1,VIII,374,LEBU,274,Reineta,"500,000",,19.59,B - L,BN,CHD - PP,,,
2009,1,VIII,374,LEBU,274,Reineta,"400,000",,91.77,B - L,BN,CHD - PP,,,
2009,1,XIV,412,NIEBLA,227,Congrio colorado,"1,200,000",,0.15,B,BN,CHD,,,
2009,1,XIV,412,NIEBLA,230,Corvina,"1,000,000",,0.10,B,BN,CHD,,,
2009,1,XIV,412,NIEBLA,258,Pejegallo,"600,000",,0.10,B,BN,CHD,,,
2009,1,XIV,412,NIEBLA,406,Almeja o taca,"300,000",,0.30,B,AM,CHD,,,
2009,1,XIV,412,NIEBLA,425,Cholga,"300,000",,0.10,B,AM,CHD,,,
2009,1,XIV,412,NIEBLA,430,Chorito,"350,000",,0.20,B,AM,CHD,,,
2009,1,XIV,412,NIEBLA,435,Choro,"400,000",,0.30,B,AM,CHD,,,
2009,1,XIV,412,NIEBLA,465,Navajuela,"400,000",,0.10,B,AM,CHD,,,
2009,1,XIV,412,NIEBLA,227,Congrio colorado,"2,000,000",,0.20,B,,PP,,,
