PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AÑO,MES,REGIÓN,Caleta,Nom_caleta,Especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,,,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,,,
2008,1,XIV,410,LOS MOLINOS,430,Chorito,"250,000",,0.400,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,435,Choro,"300,000",,0.300,O,BN,CHD,,,
2008,1,XIV,410,LOS MOLINOS,465,Navajuela,"300,000",,0.300,O,BN,CHD,,,
2008,2,I,10,CAVANCHA,291,Bilagay,"1,000,000",,0.100,B,BN,CHD,,,
2008,2,I,10,CAVANCHA,284,Tiburon o marrajo,"1,100,000",,6.000,B,BN,CHD,,,
2008,2,I,10,CAVANCHA,254,Palometa,"650,000",,0.300,B,BN,CHD,,,
2008,2,I,8,RIQUELME,254,Palometa,"650,000",,14.000,L,BN,CHD,,,
2008,2,I,8,RIQUELME,217,Bacalao de profundidad,"5,000,000",,0.800,L,BN,CHD,,,
2008,2,I,8,RIQUELME,226,Cojinoba del norte,"2,800,000",,0.320,L,BN,CHD,,,
2008,2,I,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.280,B,BN,CHD,,,
2008,2,I,8,RIQUELME,230,Corvina,"2,200,000",,0.800,B,BN,CHD,,,
2008,2,I,8,RIQUELME,254,Palometa,"1,200,000",,0.980,L,BN,CHD,,,
2008,2,I,8,RIQUELME,226,Cojinoba del norte,"2,800,000",,0.320,L,BN,CHD,,,
2008,2,I,8,RIQUELME,221,Cabrilla común,"1,800,000",,0.080,B,BN,CHD,,,
2008,2,I,8,RIQUELME,280,Sargo,"840,000",,0.050,B,BN,CHD,,,
2008,2,I,8,RIQUELME,291,Bilagay,"800,000",,0.030,B,BN,CHD,,,
2008,2,I,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.280,B,BN,CHD,,,
2008,2,I,8,RIQUELME,450,Lapa,"1,000,000",,0.080,B,BN,CHD,,,
2008,2,II,50,ANTOFAGASTA,226,Cojinoba del norte,"1,800,000",,0.060,B,BN,CHD,,,
2008,2,II,50,ANTOFAGASTA,234,Jurel,"400,000",,3.000,L,BN,CHD,,,
2008,2,II,50,ANTOFAGASTA,220,Cabrilla,"2,000,000",,0.015,B,BN,CHD,,,
2008,2,II,50,ANTOFAGASTA,485,Pulpo,"1,400,000",,7.100,L,BN,PP,,,
2008,2,II,60,MEJILLONES,406,Almeja,"400,000",,0.010,B,BN,CHD,,,
2008,2,II,60,MEJILLONES,450,Lapa,"1,500,000",,0.010,B,BN,CHD,,,
2008,2,II,60,MEJILLONES,425,Cholga,"500,000",,0.010,B,BN,CHD,,,
2008,2,II,56,TALTAL,227,Congrio colorado,"2,000,000",,0.025,B,BN,CHD,,,
2008,2,II,56,TALTAL,145,Huiro  (Macrocystis spp),"80,000",,5.000,O,BN,PP,,,
2008,2,II,56,TALTAL,226,Cojinoba del norte,"1,500,000",,0.018,B,BN,CHD,,,
2008,2,II,56,TALTAL,220,Cabrilla,"1,500,000",,0.016,B,BN,CHD,,,
2008,2,II,56,TALTAL,207,Apañado,"1,500,000",,0.012,B,BN,CHD,,,
2008,2,II,56,TALTAL,226,Cojinoba del norte,"1,500,000",,0.020,B,BN,CHD,,,
2008,2,II,56,TALTAL,227,Congrio colorado,"2,000,000",,0.023,B,BN,CHD,,,
2008,2,II,56,TALTAL,280,Sargo,"1,000,000",,0.014,B,BN,CHD,,,
