PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
AÑO,MES,REGIÓN,CALETA,Nom_caleta,ESPECIE,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2010,1,XI,514,PTO. AYSÉN,268,Raya volantin,"800,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,270,Robalo,"800,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,485,Pulpo,"900,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,435,Choro,"150,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,430,Chorito,"130,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,440,Culengue,"230,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,450,Lapa,"250,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,485,Pulpo,"800,000",,,,,,
2010,1,XI,514,PTO. AYSÉN,810,Erizo,"160,000",,,,,,
2010,1,XII,534,PUNTA ARENAS,244,Merluza del sur,"1,000,000",,0.400,O,BN,PP,
2010,1,XII,536,PUERTO NATALES,244,Merluza del sur,"1,000,000",,6.700,O,BN,PP,
2010,1,XII,536,PUERTO NATALES,228,Congrio dorado,"1,250,000",,9.900,O,BN,PP,
2010,1,XII,536,PUERTO NATALES,475,Ostion del sur,"533,000",,33.900,O,BN,PP,
2010,1,XIV,410,LOS MOLINOS,228,Congrio dorado,"1,200,000",,0.150,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,230,Corvina,"1,000,000",,0.600,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,406,Almeja,"400,000",,1.700,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,430,Chorito,"250,000",,2.000,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,435,Choro,"150,000",,1.500,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,465,Navajuela,"350,000",,0.500,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,227,Congrio colorado,"1,500,000",,0.350,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,242,Merluza común,"1,000,000",,0.200,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,270,Robalo,"600,000",,0.150,O,,CHD,
2010,1,XIV,410,LOS MOLINOS,406,Almeja,"450,000",,0.100,O,BN,CHD,
2010,1,XIV,410,LOS MOLINOS,430,Chorito,"250,000",,0.350,O,BN,CHD,
2010,1,XIV,410,LOS MOLINOS,435,Choro,"300,000",,0.300,O,BN,CHD,
2010,1,XIV,412,NIEBLA,227,Congrio colorado,"1,200,000",,0.150,B,,CHD,
2010,1,XIV,412,NIEBLA,230,Corvina,"1,000,000",,0.100,B,,CHD,
