PRECIOS DE PRIMERA TRANSACCIîN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2017,,,,,,,,,,,,
,,,,,,,,,,,,
A„O,MES,REGIîN,C—digo Caleta,Nom_caleta,C—digo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2017,1,7,268,DUAO,242,Merluza comœn,"1,296,000",,,B,BN,CHD
2017,1,7,268,DUAO,234,Jurel,"259,000",,,B,BN,CHD
2017,1,7,268,DUAO,234,Jurel,"259,000",,,B,BN,CHD
2017,1,7,268,DUAO,234,Jurel,"370,400",,,B,BN,CHD
2017,1,7,268,DUAO,286,Tollo,"1,000,000",,,B,BN,CHD
2017,1,7,268,DUAO,230,Corvina,"2,500,000",,,B,BN,CHD
2017,1,7,268,DUAO,238,Lisa,"1,600,000",,,B,BN,CHD
2017,1,8,336,SAN VICENTE,820,Piure,"200,000",,,B,BN,CHD
2017,1,8,336,SAN VICENTE,644,Picoroco,"400,000",,,B,BN,CHD
2017,1,8,310,TOME,230,Corvina,"2,000,000",,,B,BN,CHD
2017,1,8,310,TOME,229,Congrio negro,"1,000,000",,,B,BN,CHD
2017,1,8,310,TOME,227,Congrio colorado,"2,200,000",,,B,BN,CHD
2017,1,8,306,COLIUMO,120,Chicorea de mar,"300,000",35,,B,BN,PP
2017,1,8,306,COLIUMO,138,Luga cuchara o corta,"350,000",35,,O,BN,PP
2017,1,8,306,COLIUMO,653,Jaiba peluda,"1,000,000",,,B,BN,PP
2017,1,8,350,LO ROJAS,242,Merluza comœn,"1,300,000",,3,L,BN,CHD - PP
2017,1,8,350,LO ROJAS,444,Huepo o navaja de mar,"1,190,000",,12,B,BN,CHD-PP
2017,1,8,350,LO ROJAS,465,Navajuela,"690,000",,22,B,BN,CHD-PP
2017,1,8,350,LO ROJAS,234,Jurel,"720,000",,6,B - L,BN,CHD-PP
2017,1,8,350,LO ROJAS,407,Juliana o tawera,"1,080,000",,10,B,BN,CHD-PP
2017,1,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.8,B,BN,CHD-PP
2017,1,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,0.5,B,BN,CHD-PP
2017,1,8,350,LO ROJAS,654,Jaiba marmola,"960,000",,0.3,B - L,BN,CHD - PP
2017,1,8,350,LO ROJAS,465,Navajuela,"690,000",,23,B,BN,CHD - PP
2017,1,8,350,LO ROJAS,234,Jurel,"720,000",,1,B - L,BN,CHD - PP
2017,1,8,350,LO ROJAS,407,Juliana o tawera,"108,000",,1,B,BN,CHD - PP
2017,1,8,350,LO ROJAS,658,Jaiba reina,"980,000",,0.2,B,BN,CHD - PP
2017,1,8,350,LO ROJAS,653,Jaiba peluda,"940,000",,0.1,B,BN,CHD - PP
2017,1,8,374,LEBU,274,Reineta,"1,300,000",,7,L,BN,CHD
2017,1,8,374,LEBU,445,Jibia o calamar rojo,"250,000",,30,B,BN,PP
2017,1,8,374,LEBU,274,Reineta,"1,000,000",,1,L,BN,CHD
2017,1,8,374,LEBU,445,Jibia o calamar rojo,"250,000",,22,B,BN,PP
2017,1,9,388,QUEULE,258,Pejegallo,"800,000",,1,L,,CHD
2017,1,9,388,QUEULE,230,Corvina,"1,600,000",,1,L,,CHD
2017,1,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,BN,CHD
2017,1,9,388,QUEULE,274,Reineta,"1,500,000",,1,L,,CHD
2017,1,9,388,QUEULE,286,Tollo,"800,000",,1,L,,CHD
2017,1,9,388,QUEULE,230,Corvina,"1,600,000",,1,L,,CHD
2017,1,9,388,QUEULE,226,Cojinoba del norte,"1,000,000",,1,L,BN,CHD
2017,1,9,388,QUEULE,274,Reineta,"1,300,000",,1,L,,CHD
2017,1,14,412,NIEBLA,110,Cochayuyo,"550,000",30,3.3,B,BN,PP
2017,1,14,412,NIEBLA,290,Besugo,"1,200,000",,1.22,L,BN,PP
2017,1,14,412,NIEBLA,260,Pejerrey de mar,"700,000",,0.1,L,BN,PP
2017,1,14,412,NIEBLA,228,Congrio dorado,"2,900,000",,1.12,L,BN,PP
2017,1,14,404,VALDIVIA,274,Reineta,"1,500,000",,207,L,BN,PP
2017,1,14,410,LOS MOLINOS,282,Sierra,"500,000",,307,B,BN,CHD
2017,1,14,557,MISISSIPPI,430,Chorito,"700,000",,1.5,B,BN,CHD
2017,1,10,474,DALCAHUE,258,Pejegallo,"450,000",,1.5,L,BN,CHD
2017,1,10,454,SAN RAFAEL,465,Navajuela,"450,000",,0.71,B,BN,PP
2017,1,10,454,SAN RAFAEL,465,Navajuela,"319,950",,0.71,B,BN,PP
2017,1,10,494,QUELLîN,430,Chorito,"300,000",,2,O,BN,CHD
2017,1,10,474,DALCAHUE,258,Pejegallo,"480,000",,0.39,L,BN,PP
2017,1,10,474,DALCAHUE,258,Pejegallo,"480,000",,0.2,L,BN,PP
2017,1,10,474,DALCAHUE,406,Almeja,"420,000",,2.4,L,BN,CHD
2017,1,10,494,QUELLîN,406,Almeja,"480,000",,2,B,BN,CHD
2017,1,10,474,DALCAHUE,435,Choro,"315,000",,0.9,L,BN,CHD
2017,1,10,474,DALCAHUE,405,Taquilla,"851,170",,5.01,L,BN,PP
2017,1,10,494,QUELLON,430,Chorito,"150,000",,2,O,CC,CHD
2017,1,10,474,DALCAHUE,444,Huepo o navaja de mar,"700,000",,1.81,L,BN,CHD
2017,1,10,474,DALCAHUE,244,Merluza del sur o austral,"1,100,000",,0.26,L,BN,PP
2017,1,10,474,DALCAHUE,435,Choro,"350,000",,0.9,L,BN,CHD
2017,1,10,429,ANAHUAC,274,Reineta,"2,000,000",,0.87,B,BN,PP
2017,1,10,429,ANAHUAC,274,Reineta,"800,000",,2.32,B,BN,CHD
2017,1,10,454,SAN RAFAEL,465,Navajuela,"450,000",,0.71,B,BN,PP
2017,1,10,573,LA VEGA,244,Merluza del sur o austral,"1,000,000",,1,B,BN,CHD
2017,1,10,474,DALCAHUE,405,Taquilla,"170,000",,5.01,L,BN,PP
2017,1,10,474,DALCAHUE,465,Navajuela,"500,000",,4.4,L,BN,CHD
2017,1,10,474,DALCAHUE,258,Pejegallo,"675,000",,1.5,L,BN,CHD
2017,1,10,494,QUELLîN,406,Almeja,"576,000",,1.8,L,BN,CHD
2017,1,10,494,QUELLîN,406,Almeja,"695,450",,1.99,L,BN,CHD
2017,1,10,494,QUELLON,136,Luga roja,"280,000",30,4,L,BN,PP
2017,1,10,494,QUELLON,406,Almeja,"320,000",,26.6,L,BN,CHD
2017,1,10,474,DALCAHUE,406,Almeja,"320,000",,3.2,L,BN,CHD
2017,1,10,494,QUELLON,406,Almeja,"320,000",,1.8,L,BN,CHD
2017,1,10,494,QUELLON,217,Bacalao de profundidad,"12,600,000",,6.77,L,BN,PP
2017,1,10,494,QUELLON,810,Erizo,"770,000",,1.38,L,BN,CHD
2017,1,11,514,PUERTO AYSEN,406,Almeja,"380,000",,,L,BN,PP
2017,1,11,514,PUERTO AYSEN,267,Puye,"8,500,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,425,Cholga,"150,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,435,Choro,"150,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,270,Robalo,"700,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,440,Culengue,"250,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,244,Merluza del sur o austral,"1,100,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,228,Congrio dorado,"1,400,000",,,L,BN,PP
2017,1,11,514,PUERTO AYSEN,275,Sardina austral o del sur,"50,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,654,Jaiba marmola,"170,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,136,Luga roja,"270,000",30,,L,,PP
2017,1,11,514,PUERTO AYSEN,406,Almeja,"380,000",,,L,BN,PP
2017,1,11,514,PUERTO AYSEN,267,Puye,"8,500,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,425,Cholga,"150,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,435,Choro,"150,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,270,Robalo,"700,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,440,Culengue,"250,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,244,Merluza del sur o austral,"1,100,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,228,Congrio dorado,"1,400,000",,,L,BN,PP
2017,1,11,514,PUERTO AYSEN,275,Sardina austral o del sur,"50,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,654,Jaiba marmola,"170,000",,,L,,PP
2017,1,11,514,PUERTO AYSEN,136,Luga roja,"270,000",30,,L,,PP
2017,1,12,536,PUERTO NATALES,228,Congrio dorado,"3,000,000",,1,B,BN,CHD
2017,1,12,534,PUNTA ARENAS,228,Congrio dorado,"1,200,000",,2.4,O,BN,PP
2017,1,12,536,PUERTO NATALES,270,Robalo,"1,500,000",,0.11,B,BN,CHD
2017,1,12,536,PUERTO NATALES,654,Jaiba marmola,"500,000",,0.07,B,BN,CHD
2017,1,12,536,PUERTO NATALES,425,Cholga,"400,000",,5.9,L,BN,CHD
2017,2,15,4,ARICA,260,Pejerrey de mar,"1,000,000",,0.2,B,BN,CHD
2017,2,15,4,ARICA,272,Roncacho,"2,000,000",,0.05,B,BN,CHD
2017,2,15,4,ARICA,218,Caballa,"1,000,000",,0.05,B,BN,CHD
2017,2,15,4,ARICA,451,Lapa negra,"1,500,000",,0.08,B,BN,CHD
2017,2,15,4,ARICA,406,Almeja,"1,000,000",,0.05,B,BN,CHD
2017,2,15,4,ARICA,238,Lisa,"2,000,000",,0.04,B,BN,CHD
2017,2,15,4,ARICA,221,Cabrilla comœn,"2,000,000",,0.02,B,BN,CHD
2017,2,15,4,ARICA,348,Lenguado,"3,000,000",,0.02,B,BN,CHD
2017,2,15,4,ARICA,382,Pichibueno,"2,500,000",,0.04,B,BN,CHD
2017,2,1,8,RIQUELME,226,Cojinoba del norte,"2,800,000",,0.06,L,BN,CHD
2017,2,1,8,RIQUELME,221,Cabrilla comœn,"2,200,000",,0.05,B,BN,CHD
2017,2,2,50,ANTOFAGASTA,145,Huiro,"220,000",35,1,O,BN,PP
2017,2,2,50,ANTOFAGASTA,141,Chasc—n o huiro negro,"300,000",30,1,O,BN,PP
2017,2,2,38,HUACHAN,145,Huiro,"210,000",35,1,O,BN,PP
2017,2,2,38,HUACHAN,141,Chasc—n o huiro negro,"370,000",30,1,O,BN,PP
2017,2,2,42,CALETA BUENA,141,Chasc—n o huiro negro,"320,000",30,1,O,BN,PP
2017,2,2,42,CALETA BUENA,142,Huiro palo,"180,000",30,1,O,BN,PP
2017,2,2,56,TALTAL,141,Chasc—n o huiro negro,"380,000",30,1,O,BN,PP
2017,2,2,56,TALTAL,142,Huiro palo,"270,000",30,1,O,BN,PP
2017,2,2,56,TALTAL,451,Lapa negra,"650,000",,1,O,BN,PP
2017,2,2,56,TALTAL,262,Pejeperro,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,207,Apa–ado,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,227,Congrio colorado,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,231,Dorado de altura,"2,500,000",,1,B - L,BN,CHD
2017,2,2,56,TALTAL,226,Cojinoba del norte,"3,000,000",,1,B - L,BN,CHD
2017,2,2,56,TALTAL,221,Cabrilla comœn,"2,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,252,Vieja o mulata,"3,500,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,266,Albacora o pez espada,"3,800,000",,1,O,BN,CHD
2017,2,2,56,TALTAL,236,Lenguado de ojos chicos,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,810,Erizo,"480,000",,1,O,BN,CHD
2017,2,2,56,TALTAL,141,Chasc—n o huiro negro,"380,000",30,1,O,BN,PP
2017,2,2,56,TALTAL,142,Huiro palo,"270,000",30,1,O,BN,CHD
2017,2,2,56,TALTAL,451,Lapa negra,"650,000",,1,B - O,BN,PP
2017,2,2,56,TALTAL,262,Pejeperro,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,207,Apa–ado,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,227,Congrio colorado,"4,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,231,Dorado de altura,"2,500,000",,1,B - L,BN,CHD
2017,2,2,56,TALTAL,226,Cojinoba del norte,"3,000,000",,1,B - L,BN,CHD
2017,2,2,56,TALTAL,221,Cabrilla comœn,"2,000,000",,1,B,BN,CHD
2017,2,2,56,TALTAL,252,Vieja o mulata,"3,500,000",,1,B,BN,
