PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2014,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2014,1,14,578,BONIFACIO,812,Pepino de mar,"250,000",,0.03,B,BN,CHD
2014,1,14,578,BONIFACIO,658,Jaiba reina,"520,000",,0.03,B,BN,CHD
2014,1,14,578,BONIFACIO,227,Congrio colorado,"2,000,000",,0.06,B,BN,CHD
2014,1,14,578,BONIFACIO,258,Pejegallo,"800,000",,0.5,B,,CHD
2014,1,14,578,BONIFACIO,282,Sierra,"1,000,000",,0.1,B,,CHD
2014,1,14,578,BONIFACIO,223,Chancharro,"800,000",,0.04,B,,CHD
2014,1,14,578,BONIFACIO,273,Rollizo,"800,000",,0.02,B,,CHD
2014,1,14,578,BONIFACIO,455,Loco,"7,500,000",,,B,AM,PP
2014,1,14,578,BONIFACIO,270,Robalo,"1,000,000",,0.8,B,,CHD
2014,1,14,578,BONIFACIO,237,Huaiquil o corvinilla,"1,000,000",,0.5,B,,CHD
2014,1,14,578,BONIFACIO,236,Lenguado de ojos chicos,"1,500,000",,0.25,B,,CHD
2014,1,10,573,LA VEGA,244,Merluza del sur,"900,000",,1.2,B,BN,CHD
2014,1,10,573,LA VEGA,425,Cholga,"90,000",,3,L,BN,CHD
2014,1,11,514,PTO AYSEN,244,Merluza del sur,"900,000",,1,L,BN,PP
2014,1,11,514,PTO AYSEN,228,Congrio dorado,"800,000",,1,L,BN,PP
2014,1,11,514,PTO AYSEN,268,Raya volantin,"1,000,000",,1,L,BN,PP
2014,1,11,514,PUERTO AYSEN,275,Sardina austral,"50,000",,1,L,BN,PP
2014,1,11,514,PTO AYSEN,654,Jaiba marmola,"175,000",,1,L,BN,PP
2014,1,11,514,PUERTO AYSEN,616,Centolla,"1,900,000",,1,L,BN,PP
2014,1,11,514,PTO AYSEN,137,Luga negra o crespa,"160,000",30,1,L,,PP
2014,1,11,514,PTO AYSEN,136,Luga roja,"270,000",30,1,L,,PP
2014,1,11,514,PTO AYSEN,244,Merluza del sur,"900,000",,2.77,L,,PP
2014,1,11,514,PTO AYSEN,228,Congrio dorado,"800,000",,1,L,,PP
2014,1,11,514,PTO AYSEN,268,Raya volantin,"1,000,000",,1,L,,PP
2014,1,11,514,PUERTO AYSEN,275,Sardina austral,"50,000",,98.74,L,BN,PP
2014,1,11,514,PTO AYSEN,654,Jaiba marmola,"175,000",,1,L,,PP
2014,1,11,514,PUERTO AYSEN,616,Centolla,"1,900,000",,1,L,,PP
2014,1,11,514,PTO AYSEN,137,Luga negra o crespa,"160,000",30,1,L,,PP
2014,1,11,514,PTO AYSEN,136,Luga roja,"270,000",30,1,L,,PP
2014,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"550,000",,1.59,O,BN,PP
2014,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"630,000",,3.49,O,BN,PP
2014,1,12,534,PUNTA ARENAS,406,Almeja,"450,000",,1.49,O,BN,PP
2014,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"550,000",,1.65,O,BN,PP
2014,1,12,534,PUNTA ARENAS,444,Huepo o navaja de mar,"630,000",,4.22,O,BN,PP
2014,1,12,536,PUERTO NATALES,406,Almeja,"200,000",,15,L,BN,PP
2014,1,12,536,PUERTO NATALES,244,Merluza del sur,"1,300,000",,0.22,B,BN,PP
2014,1,12,536,PUERTO NATALES,406,Almeja,"200,000",,24.61,L,BN,PP
2014,1,12,536,PUERTO NATALES,228,Congrio dorado,"1,300,000",,0.2,L,BN,PP
2014,2,15,4,ARICA,254,Palometa,"2,500,000",,0.07,B,BN,CHD
2014,2,15,4,ARICA,280,Sargo,"2,000,000",,0.03,B,BN,CHD
2014,2,15,4,ARICA,238,Lisa,"2,000,000",,0.03,B,BN,CHD
2014,2,15,4,ARICA,271,Rococo,"2,000,000",,0.03,B,BN,CHD
2014,2,15,4,ARICA,254,Palometa,"3,000,000",,0.06,B,BN,CHD
2014,2,1,8,RIQUELME,231,Dorado de altura,"1,800,000",,0.2,L,BN,CHD
2014,2,1,8,RIQUELME,260,Pejerrey de mar,"1,000,000",,0.08,B,BN,CHD
2014,2,1,8,RIQUELME,231,Dorado de altura,"1,300,000",,0.42,L,BN,CHD
2014,2,1,10,CAVANCHA,204,Breca o Bilagay,"1,200,000",,0.03,L,BN,CHD
2014,2,1,10,CAVANCHA,221,Cabrilla común,"1,500,000",,0.08,B,BN,CHD
2014,2,1,10,CAVANCHA,229,Congrio negro,"1,800,000",,0.015,B,BN,CHD
2014,2,1,10,CAVANCHA,262,Pejeperro,"1,500,000",,0.025,B,BN,CHD
2014,2,1,10,CAVANCHA,221,Cabrilla común,"1,800,000",,0.05,L,BN,CHD
2014,2,1,10,CAVANCHA,229,Congrio negro,"1,800,000",,0.06,L,BN,CHD
2014,2,1,10,CAVANCHA,204,Breca o Bilagay,"1,200,000",,0.03,B,BN,CHD
2014,2,2,50,ANTOFAGASTA,226,Cojinoba del norte,"2,500,000",,0.028,L,BN,CHD
2014,2,2,50,ANTOFAGASTA,653,Jaiba peluda ,"250,000",,0.008,B,BN,CHD
2014,2,2,50,ANTOFAGASTA,220,Cabrilla ,"1,300,000",,0.015,B,BN,CHD
2014,2,2,50,ANTOFAGASTA,425,Cholga,"500,000",,0.01,B,BN,CHD
2014,2,2,50,ANTOFAGASTA,234,Jurel,"3,000,000",,0.02,L,BN,CHD
2014,2,2,50,ANTOFAGASTA,219,Cabinza,"1,250,000",,0.04,B,BN,CHD
2014,2,2,56,TALTAL,141,Chascon o huiro negro,"400,000",30,3.5,O,,PP
2014,2,2,56,TALTAL,450,Lapa,"650,000",,0.02,O,,PP
2014,2,2,56,TALTAL,141,Chascon o huiro negro,"380,000",30,2.5,O,,PP
2014,2,2,56,TALTAL,450,Lapa,"650,000",,0.03,O,,PP
2014,2,4,122,COQUIMBO,242,Merluza común,"1,500,000",,0.68,B,BN,CHD
2014,2,4,122,COQUIMBO,227,Congrio colorado,"3,500,000",,0.042,B,BN,CHD
2014,2,4,122,COQUIMBO,236,Lenguado de ojos chicos,"4,500,000",,0.016,B,BN,CHD
2014,2,4,122,COQUIMBO,234,Jurel,"1,500,000",,0.06,B,BN,CHD
2014,2,4,122,COQUIMBO,221,Cabrilla común,"1,500,000",,0.014,B,BN,CHD
2014,2,4,122,COQUIMBO,242,Merluza común,"1,800,000",,0.2,B,BN,CHD
2014,2,4,122,COQUIMBO,227,Congrio colorado,"3,500,000",,0.056,B,BN,CHD
2014,2,4,122,COQUIMBO,230,Corvina,"2,800,000",,0.01,B,BN,CHD
2014,2,4,122,COQUIMBO,258,Pejegallo,"1,500,000",,0.012,B,BN,CHD
2014,2,4,122,COQUIMBO,653,Jaiba peluda ,"1,200,000",,0.098,B,BN,CHD
2014,2,5,230,MOSTAZAL,135,Luga Luga,"450,000",30,1,O,BN,PP
2014,2,5,230,MOSTAZAL,145,Huiro,"120,000",30,1,O,BN,PP
2014,2,5,230,MOSTAZAL,141,Chascon o huiro negro,"250,000",30,1,O,BN,PP
2014,2,5,230,MOSTAZAL,110,Cochayuyo,"350,000",30,1,O,BN,PP
2014,2,7,284,PELLUHUE,242,Merluza común,"160,000",,0.54,B,BN,CHD
2014,2,7,284,PELLUHUE,242,Merluza común,"355,555",,1.2,B,BN,CHD
2014,2,8,336,SAN VICENTE,820,Piure,"200,000",,0.04,B,BN,CHD
2014,2,8,336,SAN VICENTE,644,Picoroco,"300,000",,0.02,B,BN,CHD
2014,2,8,336,SAN VICENTE,820,Piure,"200,000",,0.05,B,BN,CHD
2014,2,8,310,TOME,640,Jaiba,"1,200,000",,0.35,B,BN,CHD
2014,2,8,310,TOME,820,Piure,"175,000",,0.245,B,BN,CHD
2014,2,8,310,TOME,274,Reineta,"800,000",,0.75,B,BN,CHD
2014,2,8,310,TOME,242,Merluza común,"400,000",,1.316,B,BN,CHD
2014,2,8,310,TOME,274,Reineta,"800,000",,0.8,B,BN,CHD
2014,2,8,310,TOME,242,Merluza común,"400,000",,0.65,B,BN,CHD
2014,2,8,310,TOME,282,Sierra,"400,000",,0.5,B,BN,CHD
2014,2,8,350,LO ROJAS,655,Jaiba remadora,"620,000",,1.3,B - L,BN,CHD - PP
2014,2,8,350,LO ROJAS,260,Pejerrey de mar,"350,000",,0.95,,,
2014,2,8,350,LO ROJAS,227,Congrio colorado,"2,120,000",,0.71,B,BN,CHD
2014,2,8,350,LO ROJAS,229,Congrio negro,"1,580,000",,0.91,,,
2014,2,8,350,LO ROJAS,270,Robalo,"610,000",,0.53,,,
2014,2,8,350,LO ROJAS,654,Jaiba marmola,"660,000",,1.31,B - L,BN,CHD - PP
2014,2,8,350,LO ROJAS,444,Huepo o navaja de mar,"740,000",,4.86,B,BN,CHD - PP
2014,2,8,350,LO ROJAS,465,Navajuela,"550,000",,4.98,,,
2014,2,8,350,LO ROJAS,406,Almeja,"530,000",,0.55,B,BN,CHD
2014,2,8,350,LO ROJAS,213,Blanquillo,"460,000",,0.84,,,
2014,2,8,350,LO ROJAS,407,Taquilla,"110,000",,6.1,B,BN,PP
2014,2,8,350,LO ROJAS,242,Merluza común,"690,000",,0.98,L,BN,CHD - PP
2014,2,8,350,LO ROJAS,258,Pejegallo,"790,000",,0.62,L,BN,CHD - PP
