PRECIOS DE PRIMERA TRANSACCI”N ,,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
AãO,MES,REGI”N,Codigo Caleta,Nom_caleta,Codigo especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO,
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP,
2016,2,2,56,TALTAL,451,Lapa negra,"700,000",,1,O,BN,PP,
2016,2,2,56,TALTAL,262,Pejeperro,"3,500,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,207,Apanado,"3,000,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,227,Congrio colorado,"3,500,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,231,Dorado,"1,600,000",,1,B - L,BN,CHD,
2016,2,2,56,TALTAL,226,Cojinoba del norte,"3,000,000",,1,B - L,BN,CHD,
2016,2,2,56,TALTAL,221,Cabrilla comun,"1,800,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,810,Erizo,"400,000",,1,O,BN,CHD,
2016,2,2,56,TALTAL,252,Vieja o mulata,"3,000,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,236,Lenguado de ojos chicos,"3,500,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,141,Chascon o huiro negro,"250,000",46,1,O,BN,PP,
2016,2,2,56,TALTAL,142,Huiro palo,"320,000",53,1,O,BN,PP,
2016,2,2,56,TALTAL,451,Lapa negra,"700,000",,1,O,BN,PP,
2016,2,2,56,TALTAL,262,Pejeperro,"3,500,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,207,Apanado,"3,000,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,227,Congrio colorado,"3,500,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,231,Dorado,"1,600,000",,1,B - L,BN,CHD,
2016,2,2,56,TALTAL,226,Cojinoba del norte,"3,000,000",,1,B - L,BN,CHD,
2016,2,2,56,TALTAL,221,Cabrilla comun,"1,800,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,810,Erizo,"480,000",,1,O,BN,CHD,
2016,2,2,56,TALTAL,252,Vieja o mulata,"3,000,000",,1,B,BN,CHD,
2016,2,2,56,TALTAL,236,Lenguado de ojos chicos,"3,500,000",,1,B,BN,CHD,
