PRECIOS DE PRIMERA TRANSACCIÓN ,,,,,,,,,,,,
SECTOR ARTESANAL,,,,,,,,,,,,
2011,,,,,,,,,,,,
,,,,,,,,,,,,
AÑO,MES,REGIÓN,Código Caleta,Nom_caleta,Código especie,Nom_Especie,PRECIO ($/ton),%,CANTIDAD (ton),ORIGEN INFORMACION,,DESTINO RECURSO
,,,,,,,,HUMEDAD,,B - L - O,BN - AM,CHD - PP
2011,Enero,VII,636,MAGUILLINES,242,Merluza común,"296,000",,0.03,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,230,Corvina,"1,800,000",,0.00,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,229,Congrio negro,"800,000",,0.00,B,BN,CHD
2011,Enero,VII,636,MAGUILLINES,274,Reineta,"400,000",,0.00,B,BN,CHD
2011,Enero,VIII,374,LEBU,274,Reineta,"450,000",,16.00,L,BN,CHD
2011,Enero,VIII,374,LEBU,274,Reineta,"500,000",,155.00,L,BN,CHD
2011,Enero,VIII,324,TALCAHUANO,242,Merluza común,"464,286",,4.41,L,BN,CHD
2011,Enero,VIII,324,TALCAHUANO,425,Cholga,"266,666",,0.05,B,BN,
2011,Enero,VIII,324,TALCAHUANO,656,Cangrejo,"625,000",,0.07,B,BN,
2011,Enero,VIII,324,TALCAHUANO,242,Merluza común,"428,000",,,,,
2011,Enero,VIII,336,SAN VICENTE,242,Merluza común,"357,143",,0.50,L,BN,CHD
2011,Enero,VIII,336,SAN VICENTE,242,Merluza común,"428,571",,0.70,L,BN,CHD
2011,Enero,VIII,336,SAN VICENTE,640,Jaiba,"500,000",,0.15,B,BN,CHD
2011,Enero,VIII,336,SAN VICENTE,425,Cholga,"400,000",,0.18,B,BN,CHD
2011,Enero,VIII,336,SAN VICENTE,820,Piure,"142,857",,0.24,B,BN,
2011,Enero,VIII,336,SAN VICENTE,425,Cholga,"266,666",,0.05,B,BN,
2011,Enero,VIII,310,TOMÉ,227,Congrio colorado,"3,000,000",,0.40,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,229,Congrio negro,"1,000,000",,0.70,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,282,Sierra,"700,000",,0.60,B,BN,CHD
2011,Enero,VIII,310,TOMÉ,242,Merluza común,"357,000",,20.76,L,BN,CHD
2011,Enero,VIII,310,TOMÉ,230,Corvina,"2,000,000",,0.20,B,BN,CHD
